age,sex,mort,ylds (years lived with disability)_rate_stmc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,20018,stmc,0,10,0,0,0,5,male_stmc,westmidlands
1,male,0,0,0,1e-8,20018,stmc,0,10,0,0,0,5,male_stmc,westmidlands
2,male,0,0,0,1e-8,20018,stmc,0,10,0,0,0,5,male_stmc,westmidlands
3,male,0,0,0,1e-8,20018,stmc,0,10,0,0,0,5,male_stmc,westmidlands
4,male,0,0,0,1e-8,20018,stmc,0,10,0,0,0,5,male_stmc,westmidlands
5,male,0,0,0,1e-8,21167,stmc,0,10,5,0,0,5,male_stmc,westmidlands
6,male,0,0,0,1e-8,21167,stmc,0,10,5,0,0,5,male_stmc,westmidlands
7,male,0,0,0,1e-8,21167,stmc,0,10,5,0,0,5,male_stmc,westmidlands
8,male,0,0,0,1e-8,21167,stmc,0,10,5,0,0,5,male_stmc,westmidlands
9,male,0,0,0,1e-8,21167,stmc,0,10,5,0,0,5,male_stmc,westmidlands
10,male,0,0,0,1e-8,19371,stmc,0,50,10,0,0,5,male_stmc,westmidlands
11,male,0,0,0,1e-8,19371,stmc,0,50,10,0,0,5,male_stmc,westmidlands
12,male,0,0,0,1e-8,19371,stmc,0,50,10,0,0,5,male_stmc,westmidlands
13,male,0,0,0,1e-8,19371,stmc,0,50,10,0,0,5,male_stmc,westmidlands
14,male,0,0,0,1e-8,19371,stmc,0,50,10,0,0,5,male_stmc,westmidlands
15,male,1.7693867040303685e-7,2.3681371716533405e-7,2.30059589107592e-6,6.080128730864417e-7,18825,stmc,0,50,15,0,0,5,male_stmc,westmidlands
16,male,1.7693867040303685e-7,2.3681371716533405e-7,2.30059589107592e-6,6.080128730864417e-7,18825,stmc,0,50,15,0,0,5,male_stmc,westmidlands
17,male,1.7693867040303685e-7,2.3681371716533405e-7,2.30059589107592e-6,6.080128730864417e-7,18825,stmc,0,50,15,0,0,5,male_stmc,westmidlands
18,male,1.7693867040303685e-7,2.3681371716533405e-7,2.30059589107592e-6,6.080128730864417e-7,18825,stmc,0,50,15,0,0,5,male_stmc,westmidlands
19,male,1.7693867040303685e-7,2.3681371716533405e-7,2.30059589107592e-6,6.080128730864417e-7,18825,stmc,0,50,15,0,0,5,male_stmc,westmidlands
20,male,4.797384304568569e-7,6.895716517282782e-7,6.819908759969329e-6,1.737916601221753e-6,20491,stmc,0,50,20,0,0,5,male_stmc,westmidlands
21,male,4.797384304568569e-7,6.895716517282782e-7,6.819908759969329e-6,1.737916601221753e-6,20491,stmc,0,50,20,0,0,5,male_stmc,westmidlands
22,male,4.797384304568569e-7,6.895716517282782e-7,6.819908759969329e-6,1.737916601221753e-6,20491,stmc,0,50,20,0,0,5,male_stmc,westmidlands
23,male,4.797384304568569e-7,6.895716517282782e-7,6.819908759969329e-6,1.737916601221753e-6,20491,stmc,0,50,20,0,0,5,male_stmc,westmidlands
24,male,4.797384304568569e-7,6.895716517282782e-7,6.819908759969329e-6,1.737916601221753e-6,20491,stmc,0,50,20,0,0,5,male_stmc,westmidlands
25,male,1.423077575623158e-6,1.9149570057075657e-6,1.884914941689456e-5,4.845077866342672e-6,22079,stmc,0,50,25,0,0,5,male_stmc,westmidlands
26,male,1.423077575623158e-6,1.9149570057075657e-6,1.884914941689456e-5,4.845077866342672e-6,22079,stmc,0,50,25,0,0,5,male_stmc,westmidlands
27,male,1.423077575623158e-6,1.9149570057075657e-6,1.884914941689456e-5,4.845077866342672e-6,22079,stmc,0,50,25,0,0,5,male_stmc,westmidlands
28,male,1.423077575623158e-6,1.9149570057075657e-6,1.884914941689456e-5,4.845077866342672e-6,22079,stmc,0,50,25,0,0,5,male_stmc,westmidlands
29,male,1.423077575623158e-6,1.9149570057075657e-6,1.884914941689456e-5,4.845077866342672e-6,22079,stmc,0,50,25,0,0,5,male_stmc,westmidlands
30,male,4.958521615190976e-6,6.626735671384761e-6,6.635891005086472e-5,1.6470410974731842e-5,21569,stmc,0,50,30,0,0,5,male_stmc,westmidlands
31,male,4.958521615190976e-6,6.626735671384761e-6,6.635891005086472e-5,1.6470410974731842e-5,21569,stmc,0,50,30,0,0,5,male_stmc,westmidlands
32,male,4.958521615190976e-6,6.626735671384761e-6,6.635891005086472e-5,1.6470410974731842e-5,21569,stmc,0,50,30,0,0,5,male_stmc,westmidlands
33,male,4.958521615190976e-6,6.626735671384761e-6,6.635891005086472e-5,1.6470410974731842e-5,21569,stmc,0,50,30,0,0,5,male_stmc,westmidlands
34,male,4.958521615190976e-6,6.626735671384761e-6,6.635891005086472e-5,1.6470410974731842e-5,21569,stmc,0,50,30,0,0,5,male_stmc,westmidlands
35,male,8.79491239604342e-6,1.0993461207167388e-5,1.0957238529792302e-4,2.776949890963359e-5,19924,stmc,0,50,35,0,0,5,male_stmc,westmidlands
