age,sex,mort,ylds (years lived with disability)_rate_tbalc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,20018,tbalc,0,10,0,0,0,5,male_tbalc,westmidlands
1,male,0,0,0,1e-8,20018,tbalc,0,10,0,0,0,5,male_tbalc,westmidlands
2,male,0,0,0,1e-8,20018,tbalc,0,10,0,0,0,5,male_tbalc,westmidlands
3,male,0,0,0,1e-8,20018,tbalc,0,10,0,0,0,5,male_tbalc,westmidlands
4,male,0,0,0,1e-8,20018,tbalc,0,10,0,0,0,5,male_tbalc,westmidlands
5,male,0,0,0,1e-8,21167,tbalc,0,10,5,0,0,5,male_tbalc,westmidlands
6,male,0,0,0,1e-8,21167,tbalc,0,10,5,0,0,5,male_tbalc,westmidlands
7,male,0,0,0,1e-8,21167,tbalc,0,10,5,0,0,5,male_tbalc,westmidlands
8,male,0,0,0,1e-8,21167,tbalc,0,10,5,0,0,5,male_tbalc,westmidlands
9,male,0,0,0,1e-8,21167,tbalc,0,10,5,0,0,5,male_tbalc,westmidlands
10,male,0,0,0,1e-8,19371,tbalc,0,50,10,0,0,5,male_tbalc,westmidlands
11,male,0,0,0,1e-8,19371,tbalc,0,50,10,0,0,5,male_tbalc,westmidlands
12,male,0,0,0,1e-8,19371,tbalc,0,50,10,0,0,5,male_tbalc,westmidlands
13,male,0,0,0,1e-8,19371,tbalc,0,50,10,0,0,5,male_tbalc,westmidlands
14,male,0,0,0,1e-8,19371,tbalc,0,50,10,0,0,5,male_tbalc,westmidlands
15,male,1.3128493930423837e-7,4.277472250732155e-8,1.7879896769503828e-7,1.677717544865071e-7,18825,tbalc,0,50,15,0,0,5,male_tbalc,westmidlands
16,male,1.3128493930423837e-7,4.277472250732155e-8,1.7879896769503828e-7,1.677717544865071e-7,18825,tbalc,0,50,15,0,0,5,male_tbalc,westmidlands
17,male,1.3128493930423837e-7,4.277472250732155e-8,1.7879896769503828e-7,1.677717544865071e-7,18825,tbalc,0,50,15,0,0,5,male_tbalc,westmidlands
18,male,1.3128493930423837e-7,4.277472250732155e-8,1.7879896769503828e-7,1.677717544865071e-7,18825,tbalc,0,50,15,0,0,5,male_tbalc,westmidlands
19,male,1.3128493930423837e-7,4.277472250732155e-8,1.7879896769503828e-7,1.677717544865071e-7,18825,tbalc,0,50,15,0,0,5,male_tbalc,westmidlands
20,male,5.245725538065375e-7,2.181288945649141e-7,1.2082760405379367e-6,7.811621667802418e-7,20491,tbalc,0,50,20,0,0,5,male_tbalc,westmidlands
21,male,5.245725538065375e-7,2.181288945649141e-7,1.2082760405379367e-6,7.811621667802418e-7,20491,tbalc,0,50,20,0,0,5,male_tbalc,westmidlands
22,male,5.245725538065375e-7,2.181288945649141e-7,1.2082760405379367e-6,7.811621667802418e-7,20491,tbalc,0,50,20,0,0,5,male_tbalc,westmidlands
23,male,5.245725538065375e-7,2.181288945649141e-7,1.2082760405379367e-6,7.811621667802418e-7,20491,tbalc,0,50,20,0,0,5,male_tbalc,westmidlands
24,male,5.245725538065375e-7,2.181288945649141e-7,1.2082760405379367e-6,7.811621667802418e-7,20491,tbalc,0,50,20,0,0,5,male_tbalc,westmidlands
25,male,1.3066303432830053e-6,6.45213410867109e-7,3.855399108033582e-6,2.2391151262359964e-6,22079,tbalc,0,50,25,0,0,5,male_tbalc,westmidlands
26,male,1.3066303432830053e-6,6.45213410867109e-7,3.855399108033582e-6,2.2391151262359964e-6,22079,tbalc,0,50,25,0,0,5,male_tbalc,westmidlands
27,male,1.3066303432830053e-6,6.45213410867109e-7,3.855399108033582e-6,2.2391151262359964e-6,22079,tbalc,0,50,25,0,0,5,male_tbalc,westmidlands
28,male,1.3066303432830053e-6,6.45213410867109e-7,3.855399108033582e-6,2.2391151262359964e-6,22079,tbalc,0,50,25,0,0,5,male_tbalc,westmidlands
29,male,1.3066303432830053e-6,6.45213410867109e-7,3.855399108033582e-6,2.2391151262359964e-6,22079,tbalc,0,50,25,0,0,5,male_tbalc,westmidlands
30,male,5.729779839128848e-6,2.410979675839061e-6,1.2498397822842834e-5,8.843539497267332e-6,21569,tbalc,0,50,30,0,0,5,male_tbalc,westmidlands
31,male,5.729779839128848e-6,2.410979675839061e-6,1.2498397822842834e-5,8.843539497267332e-6,21569,tbalc,0,50,30,0,0,5,male_tbalc,westmidlands
32,male,5.729779839128848e-6,2.410979675839061e-6,1.2498397822842834e-5,8.843539497267332e-6,21569,tbalc,0,50,30,0,0,5,male_tbalc,westmidlands
33,male,5.729779839128848e-6,2.410979675839061e-6,1.2498397822842834e-5,8.843539497267332e-6,21569,tbalc,0,50,30,0,0,5,male_tbalc,westmidlands
34,male,5.729779839128848e-6,2.410979675839061e-6,1.2498397822842834e-5,8.843539497267332e-6,21569,tbalc,0,50,30,0,0,5,male_tbalc,westmidlands
35,male,1.4478573744538478e-5,5.398470566205645e-6,2.768440867502258e-5,1.987551213070311e-5,19924,tbalc,0,50,35,0,0,5,male_tbalc,westmidlands
36,male,1.4478573744538478e-5,5.398470566205645e-6,2.768440867502258e-5,1.987551213070311e-5,19924,tbalc,0,50,35,0,0,5,male_tbalc,westmidlands
37,male,1.4478573744538478e-5,5.398470566205645e-6,2.768440867502258e-5,1.987551213070311e-5,19924,tbalc,0,50,35,0,0,5,male_tbalc,westmidlands
38,male,1.4478573744538478e-5,5.398470566205645e-6,2.768440867502258e-5,1.987551213070311e-5,19924,tbalc,0,50,35,0,0,5,male_tbalc,westmidlands
39,male,1.4478573744538478e-5,5.398470566205645e-6,2.768440867502258e-5,1.987551213070311e-5,19924,tbalc,0,50,35,0,0,5,male_tbalc,westmidlands
40,male,4.7940178249803926e-5,1.6006525561217978e-5,8.205873852670678e-5,5.889542436940077e-5,17844,tbalc,0,50,40,0,1,5,male_tbalc,westmidlands
41,male,4.7940178249803926e-5,1.6006525561217978e-5,8.205873852670678e-5,5.889542436940077e-5,17844,tbalc,0,50,40,0,1,5,male_tbalc,westmidlands
42,male,4.7940178249803926e-5,1.6006525561217978e-5,8.205873852670678e-5,5.889542436940077e-5,17844,tbalc,0,50,40,0,1,5,male_tbalc,westmidlands
43,male,4.7940178249803926e-5,1.6006525561217978e-5,8.205873852670678e-5,5.889542436940077e-5,17844,tbalc,0,50,40,0,1,5,male_tbalc,westmidlands
44,male,4.7940178249803926e-5,1.6006525561217978e-5,8.205873852670678e-5,5.889542436940077e-5,17844,tbalc,0,50,40,0,1,5,male_tbalc,westmidlands
45,male,1.2199585827292369e-4,3.8123729695079893e-5,1.8981812833147947e-4,1.4298516793103463e-4,19328,tbalc,0,50,45,0,2,5,male_tbalc,westmidlands
46,male,1.2199585827292369e-4,3.8123729695079893e-5,1.8981812833147947e-4,1.4298516793103463e-4,19328,tbalc,0,50,45,0,2,5,male_tbalc,westmidlands
47,male,1.2199585827292369e-4,3.8123729695079893e-5,1.8981812833147947e-4,1.4298516793103463e-4,19328,tbalc,0,50,45,0,2,5,male_tbalc,westmidlands
48,male,1.2199585827292369e-4,3.8123729695079893e-5,1.8981812833147947e-4,1.4298516793103463e-4,19328,tbalc,0,50,45,0,2,5,male_tbalc,westmidlands
49,male,1.2199585827292369e-4,3.8123729695079893e-5,1.8981812833147947e-4,1.4298516793103463e-4,19328,tbalc,0,50,45,0,2,5,male_tbalc,westmidlands
50,male,2.8995006217193636e-4,8.493429185578955e-5,4.653812585416837e-4,3.3852338748057e-4,18342,tbalc,0,50,50,0,5,5,male_tbalc,westmidlands
51,male,2.8995006217193636e-4,8.493429185578955e-5,4.653812585416837e-4,3.3852338748057e-4,18342,tbalc,0,50,50,0,5,5,male_tbalc,westmidlands
52,male,2.8995006217193636e-4,8.493429185578955e-5,4.653812585416837e-4,3.3852338748057e-4,18342,tbalc,0,50,50,0,5,5,male_tbalc,westmidlands
53,male,2.8995006217193636e-4,8.493429185578955e-5,4.653812585416837e-4,3.3852338748057e-4,18342,tbalc,0,50,50,0,5,5,male_tbalc,westmidlands
54,male,2.8995006217193636e-4,8.493429185578955e-5,4.653812585416837e-4,3.3852338748057e-4,18342,tbalc,0,50,50,0,5,5,male_tbalc,westmidlands
55,male,6.01680307357114e-4,1.8668565018547617e-4,0.0011024500915381194,7.285398113679112e-4,15863,tbalc,0,50,55,0,10,5,male_tbalc,westmidlands
