age,sex,mort,ylds (years lived with disability)_rate_utrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,20018,utrc,0,10,0,0,0,5,male_utrc,westmidlands
1,male,0,0,0,1e-8,20018,utrc,0,10,0,0,0,5,male_utrc,westmidlands
2,male,0,0,0,1e-8,20018,utrc,0,10,0,0,0,5,male_utrc,westmidlands
3,male,0,0,0,1e-8,20018,utrc,0,10,0,0,0,5,male_utrc,westmidlands
4,male,0,0,0,1e-8,20018,utrc,0,10,0,0,0,5,male_utrc,westmidlands
5,male,0,0,0,1e-8,21167,utrc,0,10,5,0,0,5,male_utrc,westmidlands
6,male,0,0,0,1e-8,21167,utrc,0,10,5,0,0,5,male_utrc,westmidlands
7,male,0,0,0,1e-8,21167,utrc,0,10,5,0,0,5,male_utrc,westmidlands
8,male,0,0,0,1e-8,21167,utrc,0,10,5,0,0,5,male_utrc,westmidlands
9,male,0,0,0,1e-8,21167,utrc,0,10,5,0,0,5,male_utrc,westmidlands
10,male,0,0,0,1e-8,19371,utrc,0,50,10,0,0,5,male_utrc,westmidlands
11,male,0,0,0,1e-8,19371,utrc,0,50,10,0,0,5,male_utrc,westmidlands
12,male,0,0,0,1e-8,19371,utrc,0,50,10,0,0,5,male_utrc,westmidlands
13,male,0,0,0,1e-8,19371,utrc,0,50,10,0,0,5,male_utrc,westmidlands
14,male,0,0,0,1e-8,19371,utrc,0,50,10,0,0,5,male_utrc,westmidlands
15,male,0,0,0,1e-8,18825,utrc,0,50,15,0,0,5,male_utrc,westmidlands
16,male,0,0,0,1e-8,18825,utrc,0,50,15,0,0,5,male_utrc,westmidlands
17,male,0,0,0,1e-8,18825,utrc,0,50,15,0,0,5,male_utrc,westmidlands
18,male,0,0,0,1e-8,18825,utrc,0,50,15,0,0,5,male_utrc,westmidlands
19,male,0,0,0,1e-8,18825,utrc,0,50,15,0,0,5,male_utrc,westmidlands
20,male,0,0,0,1e-8,20491,utrc,0,50,20,0,0,5,male_utrc,westmidlands
21,male,0,0,0,1e-8,20491,utrc,0,50,20,0,0,5,male_utrc,westmidlands
22,male,0,0,0,1e-8,20491,utrc,0,50,20,0,0,5,male_utrc,westmidlands
23,male,0,0,0,1e-8,20491,utrc,0,50,20,0,0,5,male_utrc,westmidlands
24,male,0,0,0,1e-8,20491,utrc,0,50,20,0,0,5,male_utrc,westmidlands
25,male,0,0,0,1e-8,22079,utrc,0,50,25,0,0,5,male_utrc,westmidlands
26,male,0,0,0,1e-8,22079,utrc,0,50,25,0,0,5,male_utrc,westmidlands
27,male,0,0,0,1e-8,22079,utrc,0,50,25,0,0,5,male_utrc,westmidlands
28,male,0,0,0,1e-8,22079,utrc,0,50,25,0,0,5,male_utrc,westmidlands
29,male,0,0,0,1e-8,22079,utrc,0,50,25,0,0,5,male_utrc,westmidlands
30,male,0,0,0,1e-8,21569,utrc,0,50,30,0,0,5,male_utrc,westmidlands
31,male,0,0,0,1e-8,21569,utrc,0,50,30,0,0,5,male_utrc,westmidlands
32,male,0,0,0,1e-8,21569,utrc,0,50,30,0,0,5,male_utrc,westmidlands
33,male,0,0,0,1e-8,21569,utrc,0,50,30,0,0,5,male_utrc,westmidlands
34,male,0,0,0,1e-8,21569,utrc,0,50,30,0,0,5,male_utrc,westmidlands
35,male,0,0,0,1e-8,19924,utrc,0,50,35,0,0,5,male_utrc,westmidlands
36,male,0,0,0,1e-8,19924,utrc,0,50,35,0,0,5,male_utrc,westmidlands
37,male,0,0,0,1e-8,19924,utrc,0,50,35,0,0,5,male_utrc,westmidlands
38,male,0,0,0,1e-8,19924,utrc,0,50,35,0,0,5,male_utrc,westmidlands
39,male,0,0,0,1e-8,19924,utrc,0,50,35,0,0,5,male_utrc,westmidlands
40,male,0,0,0,1e-8,17844,utrc,0,50,40,0,0,5,male_utrc,westmidlands
41,male,0,0,0,1e-8,17844,utrc,0,50,40,0,0,5,male_utrc,westmidlands
42,male,0,0,0,1e-8,17844,utrc,0,50,40,0,0,5,male_utrc,westmidlands
43,male,0,0,0,1e-8,17844,utrc,0,50,40,0,0,5,male_utrc,westmidlands
44,male,0,0,0,1e-8,17844,utrc,0,50,40,0,0,5,male_utrc,westmidlands
45,male,0,0,0,1e-8,19328,utrc,0,50,45,0,0,5,male_utrc,westmidlands
46,male,0,0,0,1e-8,19328,utrc,0,50,45,0,0,5,male_utrc,westmidlands
47,male,0,0,0,1e-8,19328,utrc,0,50,45,0,0,5,male_utrc,westmidlands
48,male,0,0,0,1e-8,19328,utrc,0,50,45,0,0,5,male_utrc,westmidlands
49,male,0,0,0,1e-8,19328,utrc,0,50,45,0,0,5,male_utrc,westmidlands
50,male,0,0,0,1e-8,18342,utrc,0,50,50,0,0,5,male_utrc,westmidlands
51,male,0,0,0,1e-8,18342,utrc,0,50,50,0,0,5,male_utrc,westmidlands
52,male,0,0,0,1e-8,18342,utrc,0,50,50,0,0,5,male_utrc,westmidlands
53,male,0,0,0,1e-8,18342,utrc,0,50,50,0,0,5,male_utrc,westmidlands
54,male,0,0,0,1e-8,18342,utrc,0,50,50,0,0,5,male_utrc,westmidlands
55,male,0,0,0,1e-8,15863,utrc,0,50,55,0,0,5,male_utrc,westmidlands
56,male,0,0,0,1e-8,15863,utrc,0,50,55,0,0,5,male_utrc,westmidlands
57,male,0,0,0,1e-8,15863,utrc,0,50,55,0,0,5,male_utrc,westmidlands
58,male,0,0,0,1e-8,15863,utrc,0,50,55,0,0,5,male_utrc,westmidlands
59,male,0,0,0,1e-8,15863,utrc,0,50,55,0,0,5,male_utrc,westmidlands
60,male,0,0,0,1e-8,13427,utrc,0,50,60,0,0,5,male_utrc,westmidlands
61,male,0,0,0,1e-8,13427,utrc,0,50,60,0,0,5,male_utrc,westmidlands
62,male,0,0,0,1e-8,13427,utrc,0,50,60,0,0,5,male_utrc,westmidlands
63,male,0,0,0,1e-8,13427,utrc,0,50,60,0,0,5,male_utrc,westmidlands
64,male,0,0,0,1e-8,13427,utrc,0,50,60,0,0,5,male_utrc,westmidlands
65,male,0,0,0,1e-8,12231,utrc,0,50,65,0,0,5,male_utrc,westmidlands
66,male,0,0,0,1e-8,12231,utrc,0,50,65,0,0,5,male_utrc,westmidlands
67,male,0,0,0,1e-8,12231,utrc,0,50,65,0,0,5,male_utrc,westmidlands
68,male,0,0,0,1e-8,12231,utrc,0,50,65,0,0,5,male_utrc,westmidlands
69,male,0,0,0,1e-8,12231,utrc,0,50,65,0,0,5,male_utrc,westmidlands
70,male,0,0,0,1e-8,10547,utrc,0,50,70,0,0,5,male_utrc,westmidlands
71,male,0,0,0,1e-8,10547,utrc,0,50,70,0,0,5,male_utrc,westmidlands
72,male,0,0,0,1e-8,10547,utrc,0,50,70,0,0,5,male_utrc,westmidlands
73,male,0,0,0,1e-8,10547,utrc,0,50,70,0,0,5,male_utrc,westmidlands
74,male,0,0,0,1e-8,10547,utrc,0,50,70,0,0,5,male_utrc,westmidlands
75,male,0,0,0,1e-8,7817,utrc,0,50,75,0,0,5,male_utrc,westmidlands
76,male,0,0,0,1e-8,7817,utrc,0,50,75,0,0,5,male_utrc,westmidlands
77,male,0,0,0,1e-8,7817,utrc,0,50,75,0,0,5,male_utrc,westmidlands
78,male,0,0,0,1e-8,7817,utrc,0,50,75,0,0,5,male_utrc,westmidlands
79,male,0,0,0,1e-8,7817,utrc,0,50,75,0,0,5,male_utrc,westmidlands
80,male,0,0,0,1e-8,5479,utrc,0,20,80,0,0,5,male_utrc,westmidlands
81,male,0,0,0,1e-8,5479,utrc,0,20,80,0,0,5,male_utrc,westmidlands
82,male,0,0,0,1e-8,5479,utrc,0,20,80,0,0,5,male_utrc,westmidlands
83,male,0,0,0,1e-8,5479,utrc,0,20,80,0,0,5,male_utrc,westmidlands
84,male,0,0,0,1e-8,5479,utrc,0,20,80,0,0,5,male_utrc,westmidlands
85,male,0,0,0,1e-8,2957,utrc,0,20,85,0,0,5,male_utrc,westmidlands
86,male,0,0,0,1e-8,2957,utrc,0,20,85,0,0,5,male_utrc,westmidlands
87,male,0,0,0,1e-8,2957,utrc,0,20,85,0,0,5,male_utrc,westmidlands
88,male,0,0,0,1e-8,2957,utrc,0,20,85,0,0,5,male_utrc,westmidlands
89,male,0,0,0,1e-8,2957,utrc,0,20,85,0,0,5,male_utrc,westmidlands
90,male,0,0,0,1e-8,1059,utrc,0,10,90,0,0,5,male_utrc,westmidlands
91,male,0,0,0,1e-8,1059,utrc,0,10,90,0,0,5,male_utrc,westmidlands
92,male,0,0,0,1e-8,1059,utrc,0,10,90,0,0,5,male_utrc,westmidlands
93,male,0,0,0,1e-8,1059,utrc,0,10,90,0,0,5,male_utrc,westmidlands
94,male,0,0,0,1e-8,1059,utrc,0,10,90,0,0,5,male_utrc,westmidlands
95,male,0,0,0,1e-8,179,utrc,0,10,95,0,0,6,male_utrc,westmidlands
96,male,0,0,0,1e-8,179,utrc,0,10,95,0,0,6,male_utrc,westmidlands
97,male,0,0,0,1e-8,179,utrc,0,10,95,0,0,6,male_utrc,westmidlands
98,male,0,0,0,1e-8,179,utrc,0,10,95,0,0,6,male_utrc,westmidlands
99,male,0,0,0,1e-8,179,utrc,0,10,95,0,0,6,male_utrc,westmidlands
100,male,0,0,0,1e-8,179,utrc,0,10,95,0,0,6,male_utrc,westmidlands
