"","age","sex","sex_age_cat","case_fatality_adaod","case_fatality_brsc","case_fatality_carc","case_fatality_copd","case_fatality_crdd","case_fatality_dmt2","case_fatality_iscs","case_fatality_ishd","case_fatality_lvrc","case_fatality_stmc","case_fatality_strk","case_fatality_tbalc","case_fatality_utrc","incidence_adaod","incidence_brsc","incidence_carc","incidence_copd","incidence_crdd","incidence_dmt2","incidence_iscs","incidence_ishd","incidence_lvrc","incidence_stmc","incidence_strk","incidence_tbalc","incidence_utrc"
"1",0,"male","male_0",0.987645090383454,0.999683566400989,0.999445502327602,1.0006480256691,1.02099211674916,0.996812598627651,1.00935466107478,0.999827470626259,1.00583319047194,0.988457012509622,0.985358775178793,0.985325432320733,0.994579526560061,1e-08,1e-08,1e-08,0.000111652003777635,0.000276135924788078,1e-08,3.96358886420918e-05,1e-08,1e-08,1e-08,6.04416558326725e-05,1e-08,1e-08
"2",1,"male","male_1",1.00625060887415,1.01290951844007,1.00115846607582,0.974282554664989,1.00389632406923,1.01771787097432,1.01158286696432,0.997282188117377,0.988984924462033,1.02810991237062,1.01686303195645,1.00325433673812,0.999545181490191,1e-08,1e-08,1e-08,0.000111652003777635,0.000276135924788078,1e-08,3.96358886420918e-05,1e-08,1e-08,1e-08,6.04416558326725e-05,1e-08,1e-08
"3",2,"male","male_2",0.984762970548148,1.01111469042913,0.98931550092169,0.992328664662799,0.987440539284933,1.01631060577896,0.987831722995159,1.00307450034923,1.00275102763477,0.992743677020266,0.996931731294306,0.997270973070343,0.993298190427298,1e-08,1e-08,1e-08,0.000111652003777635,0.000276135924788078,1e-08,3.96358886420918e-05,1e-08,1e-08,1e-08,6.04416558326725e-05,1e-08,1e-08
"4",3,"male","male_3",0.988753023517441,1.01278877726457,0.993347544529356,0.976323521917622,0.989609319462536,0.994644321995632,1.00949485667991,0.997781503924753,0.99094375383589,0.991767638294737,1.02841173293752,1.00282481806448,0.997193712265101,1e-08,1e-08,1e-08,0.000111652003777635,0.000276135924788078,1e-08,3.96358886420918e-05,1e-08,1e-08,1e-08,6.04416558326725e-05,1e-08,1e-08
"5",4,"male","male_4",0.987643562288173,0.996655913925526,1.0130836383079,1.01716855659024,0.987346910403276,0.991870963766077,0.972277207473816,0.994237294314774,0.992684498667937,0.999733305786871,0.98035795256185,0.985571456882678,0.971352001762164,1e-08,1e-08,1e-08,0.000111652003777635,0.000276135924788078,1e-08,3.96358886420918e-05,1e-08,1e-08,1e-08,6.04416558326725e-05,1e-08,1e-08
"6",5,"male","male_5",1.00454562414215,1.01406345811294,0.997758802397907,0.992563286289518,0.984161560064948,1.0003163464939,1.00043220857091,1.00496482233219,1.02569978936098,0.999693609888572,0.993293990886623,1.00225529821891,0.991782394880086,1e-08,1e-08,1e-08,0.000142124093038484,0.000223589379720038,1e-08,3.01002893941493e-05,1e-08,1.43451309956721e-06,1e-08,5.20919746496148e-05,1e-08,1e-08
"7",6,"male","male_6",0.997086770585073,1.03401690212159,1.01105861504461,0.977243277725072,1.00183455292906,0.993250138226351,0.984685811058244,0.995944739460126,1.00644013709354,1.0008659308248,1.00276027605188,1.00384665254644,1.00330594458919,1e-08,1e-08,1e-08,0.000142124093038484,0.000223589379720038,1e-08,3.01002893941493e-05,1e-08,1.43451309956721e-06,1e-08,5.20919746496148e-05,1e-08,1e-08
"8",7,"male","male_7",0.985810854590467,1.01023765245788,1.00217362896971,0.970473824900041,0.987656354089348,1.00819335769567,1.01129423807954,0.991282137244267,1.00218361273482,1.0001217539474,0.998542270007665,0.998142056116724,0.982931478189578,1e-08,1e-08,1e-08,0.000142124093038484,0.000223589379720038,1e-08,3.01002893941493e-05,1e-08,1.43451309956721e-06,1e-08,5.20919746496148e-05,1e-08,1e-08
"9",8,"male","male_8",0.995627389772312,0.994365795958663,0.995065978385803,0.973446858711519,0.954089506431512,0.990004798823697,1.00731818039103,0.985393850785251,0.999575035773518,0.989085593764142,1.00486531071762,1.02228879395824,0.995579481552956,1e-08,1e-08,1e-08,0.000142124093038484,0.000223589379720038,1e-08,3.01002893941493e-05,1e-08,1.43451309956721e-06,1e-08,5.20919746496148e-05,1e-08,1e-08
"10",9,"male","male_9",1.01184444536639,0.993200663624897,1.00961715496515,0.937227459462438,0.937060639563917,1.01724433346329,1.00083685853148,1.00912457745336,1.0190934355461,0.992385130635523,0.993488209967041,0.986824829079618,1.00110750565124,1e-08,1e-08,1e-08,0.000142124093038484,0.000223589379720038,1e-08,3.01002893941493e-05,1e-08,1.43451309956721e-06,1e-08,5.20919746496148e-05,1e-08,1e-08
