age,sex,inc,mort,ylds (years lived with disability)_rate_adaod,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,0.9806871850328782,0,0.006853397024839338,0.1397173332005595,6980,Adaod,0,10,0,1,0,5,male_Adaod
1,male,0.9806871850328782,0,0.006853397024839338,0.1397173332005595,6980,Adaod,0,10,0,1,0,5,male_Adaod
2,male,0.9806871850328782,0,0.006853397024839338,0.1397173332005595,6980,Adaod,0,10,0,1,0,5,male_Adaod
3,male,0.9806871850328782,0,0.006853397024839338,0.1397173332005595,6980,Adaod,0,10,0,1,0,5,male_Adaod
4,male,0.9806871850328782,0,0.006853397024839338,0.1397173332005595,6980,Adaod,0,10,0,1,0,5,male_Adaod
5,male,0.9330988798891804,0,0.009964522419129226,0.18099699341985107,6917,Adaod,0,10,5,2,0,5,male_Adaod
6,male,0.9330988798891804,0,0.009964522419129226,0.18099699341985107,6917,Adaod,0,10,5,2,0,5,male_Adaod
7,male,0.9330988798891804,0,0.009964522419129226,0.18099699341985107,6917,Adaod,0,10,5,2,0,5,male_Adaod
8,male,0.9330988798891804,0,0.009964522419129226,0.18099699341985107,6917,Adaod,0,10,5,2,0,5,male_Adaod
9,male,0.9330988798891804,0,0.009964522419129226,0.18099699341985107,6917,Adaod,0,10,5,2,0,5,male_Adaod
10,male,0.8124056319476167,0,0.013303565339424426,0.2136923923507678,6234,Adaod,0,50,10,11,0,5,male_Adaod
11,male,0.8124056319476167,0,0.013303565339424426,0.2136923923507678,6234,Adaod,0,50,10,11,0,5,male_Adaod
12,male,0.8124056319476167,0,0.013303565339424426,0.2136923923507678,6234,Adaod,0,50,10,11,0,5,male_Adaod
13,male,0.8124056319476167,0,0.013303565339424426,0.2136923923507678,6234,Adaod,0,50,10,11,0,5,male_Adaod
14,male,0.8124056319476167,0,0.013303565339424426,0.2136923923507678,6234,Adaod,0,50,10,11,0,5,male_Adaod
15,male,0.8823816684438714,0,0.019487320199039006,0.2299387491784539,6436,Adaod,0,50,15,11,0,5,male_Adaod
16,male,0.8823816684438714,0,0.019487320199039006,0.2299387491784539,6436,Adaod,0,50,15,11,0,5,male_Adaod
17,male,0.8823816684438714,0,0.019487320199039006,0.2299387491784539,6436,Adaod,0,50,15,11,0,5,male_Adaod
18,male,0.8823816684438714,0,0.019487320199039006,0.2299387491784539,6436,Adaod,0,50,15,11,0,5,male_Adaod
19,male,0.8823816684438714,0,0.019487320199039006,0.2299387491784539,6436,Adaod,0,50,15,11,0,5,male_Adaod
20,male,0.92038202164453,0,0.020123363187824206,0.20973255769110707,7845,Adaod,0,50,20,10,0,5,male_Adaod
21,male,0.92038202164453,0,0.020123363187824206,0.20973255769110707,7845,Adaod,0,50,20,10,0,5,male_Adaod
22,male,0.92038202164453,0,0.020123363187824206,0.20973255769110707,7845,Adaod,0,50,20,10,0,5,male_Adaod
23,male,0.92038202164453,0,0.020123363187824206,0.20973255769110707,7845,Adaod,0,50,20,10,0,5,male_Adaod
24,male,0.92038202164453,0,0.020123363187824206,0.20973255769110707,7845,Adaod,0,50,20,10,0,5,male_Adaod
25,male,0.7751102115734609,0,0.02061682775047467,0.19318778972318393,9023,Adaod,0,50,25,10,0,5,male_Adaod
26,male,0.7751102115734609,0,0.02061682775047467,0.19318778972318393,9023,Adaod,0,50,25,10,0,5,male_Adaod
27,male,0.7751102115734609,0,0.02061682775047467,0.19318778972318393,9023,Adaod,0,50,25,10,0,5,male_Adaod
28,male,0.7751102115734609,0,0.02061682775047467,0.19318778972318393,9023,Adaod,0,50,25,10,0,5,male_Adaod
29,male,0.7751102115734609,0,0.02061682775047467,0.19318778972318393,9023,Adaod,0,50,25,10,0,5,male_Adaod
30,male,0.6242020004713726,0,0.024163570800306622,0.20829534156936536,8448,Adaod,0,50,30,10,0,5,male_Adaod
31,male,0.6242020004713726,0,0.024163570800306622,0.20829534156936536,8448,Adaod,0,50,30,10,0,5,male_Adaod
32,male,0.6242020004713726,0,0.024163570800306622,0.20829534156936536,8448,Adaod,0,50,30,10,0,5,male_Adaod
33,male,0.6242020004713726,0,0.024163570800306622,0.20829534156936536,8448,Adaod,0,50,30,10,0,5,male_Adaod
34,male,0.6242020004713726,0,0.024163570800306622,0.20829534156936536,8448,Adaod,0,50,30,10,0,5,male_Adaod
35,male,0.621143168701648,0,0.026136919302902694,0.21013730631601416,7997,Adaod,0,50,35,11,0,5,male_Adaod
36,male,0.621143168701648,0,0.026136919302902694,0.21013730631601416,7997,Adaod,0,50,35,11,0,5,male_Adaod
37,male,0.621143168701648,0,0.026136919302902694,0.21013730631601416,7997,Adaod,0,50,35,11,0,5,male_Adaod
38,male,0.621143168701648,0,0.026136919302902694,0.21013730631601416,7997,Adaod,0,50,35,11,0,5,male_Adaod
39,male,0.621143168701648,0,0.026136919302902694,0.21013730631601416,7997,Adaod,0,50,35,11,0,5,male_Adaod
40,male,3.540105307556914e-5,1.700329473165902e-6,7.92448813127748e-6,5.9525003900520555e-5,7179,Adaod,0,50,40,0,0,5,male_Adaod
41,male,3.540105307556914e-5,1.700329473165902e-6,7.92448813127748e-6,5.9525003900520555e-5,7179,Adaod,0,50,40,0,0,5,male_Adaod
42,male,3.540105307556914e-5,1.700329473165902e-6,7.92448813127748e-6,5.9525003900520555e-5,7179,Adaod,0,50,40,0,0,5,male_Adaod
43,male,3.540105307556914e-5,1.700329473165902e-6,7.92448813127748e-6,5.9525003900520555e-5,7179,Adaod,0,50,40,0,0,5,male_Adaod
44,male,3.540105307556914e-5,1.700329473165902e-6,7.92448813127748e-6,5.9525003900520555e-5,7179,Adaod,0,50,40,0,0,5,male_Adaod
45,male,1.1776634740306553e-4,5.523588700867546e-6,5.502851383889459e-5,4.2156498714579103e-4,7628,Adaod,0,50,45,0,0,5,male_Adaod
