age,sex,inc,mort,ylds..years.lived.with.disability._rate_allc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,NA,NaN,NaN,NaN,NaN,Allc,0,10,0,NaN,NaN,5,male_Allc
1,male,NA,NaN,NaN,NaN,NaN,Allc,0,10,0,NaN,NaN,5,male_Allc
2,male,NA,NaN,NaN,NaN,NaN,Allc,0,10,0,NaN,NaN,5,male_Allc
3,male,NA,NaN,NaN,NaN,NaN,Allc,0,10,0,NaN,NaN,5,male_Allc
4,male,NA,NaN,NaN,NaN,NaN,Allc,0,10,0,NaN,NaN,5,male_Allc
5,male,NA,NaN,NaN,NaN,NaN,Allc,0,10,5,NaN,NaN,5,male_Allc
6,male,NA,NaN,NaN,NaN,NaN,Allc,0,10,5,NaN,NaN,5,male_Allc
7,male,NA,NaN,NaN,NaN,NaN,Allc,0,10,5,NaN,NaN,5,male_Allc
8,male,NA,NaN,NaN,NaN,NaN,Allc,0,10,5,NaN,NaN,5,male_Allc
9,male,NA,NaN,NaN,NaN,NaN,Allc,0,10,5,NaN,NaN,5,male_Allc
10,male,NA,NaN,NaN,NaN,NaN,Allc,0,50,10,NaN,NaN,5,male_Allc
11,male,NA,NaN,NaN,NaN,NaN,Allc,0,50,10,NaN,NaN,5,male_Allc
12,male,NA,NaN,NaN,NaN,NaN,Allc,0,50,10,NaN,NaN,5,male_Allc
13,male,NA,NaN,NaN,NaN,NaN,Allc,0,50,10,NaN,NaN,5,male_Allc
14,male,NA,NaN,NaN,NaN,NaN,Allc,0,50,10,NaN,NaN,5,male_Allc
15,male,4.89271222139367,2.1469580835224264e-4,0.07663605788304284,0.902060334914959,6436,Allc,0,50,15,45,1,5,male_Allc
16,male,4.89271222139367,2.1469580835224264e-4,0.07663605788304284,0.902060334914959,6436,Allc,0,50,15,45,1,5,male_Allc
17,male,4.89271222139367,2.1469580835224264e-4,0.07663605788304284,0.902060334914959,6436,Allc,0,50,15,45,1,5,male_Allc
18,male,4.89271222139367,2.1469580835224264e-4,0.07663605788304284,0.902060334914959,6436,Allc,0,50,15,45,1,5,male_Allc
19,male,4.89271222139367,2.1469580835224264e-4,0.07663605788304284,0.902060334914959,6436,Allc,0,50,15,45,1,5,male_Allc
20,male,4.960163243475818,3.970116206219928e-4,0.08947915144704535,0.928707093711162,7845,Allc,0,50,20,46,3,5,male_Allc
