age,sex,inc,mort,ylds (years lived with disability)_rate_brsc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,0.9515058271496156,0,0.006536455824054826,0.15229093488573545,6598,Brsc,0,10,0,2,0,5,female_Brsc
1,female,0.9515058271496156,0,0.006536455824054826,0.15229093488573545,6598,Brsc,0,10,0,2,0,5,female_Brsc
2,female,0.9515058271496156,0,0.006536455824054826,0.15229093488573545,6598,Brsc,0,10,0,2,0,5,female_Brsc
3,female,0.9515058271496156,0,0.006536455824054826,0.15229093488573545,6598,Brsc,0,10,0,2,0,5,female_Brsc
4,female,0.9515058271496156,0,0.006536455824054826,0.15229093488573545,6598,Brsc,0,10,0,2,0,5,female_Brsc
5,female,0.9166978335880622,0,0.009138212630136465,0.19125479595515316,6603,Brsc,0,10,5,2,0,5,female_Brsc
6,female,0.9166978335880622,0,0.009138212630136465,0.19125479595515316,6603,Brsc,0,10,5,2,0,5,female_Brsc
7,female,0.9166978335880622,0,0.009138212630136465,0.19125479595515316,6603,Brsc,0,10,5,2,0,5,female_Brsc
8,female,0.9166978335880622,0,0.009138212630136465,0.19125479595515316,6603,Brsc,0,10,5,2,0,5,female_Brsc
9,female,0.9166978335880622,0,0.009138212630136465,0.19125479595515316,6603,Brsc,0,10,5,2,0,5,female_Brsc
10,female,0.8150730361421715,0,0.014483394714843435,0.22289722392581085,6051,Brsc,0,50,10,11,0,5,female_Brsc
11,female,0.8150730361421715,0,0.014483394714843435,0.22289722392581085,6051,Brsc,0,50,10,11,0,5,female_Brsc
12,female,0.8150730361421715,0,0.014483394714843435,0.22289722392581085,6051,Brsc,0,50,10,11,0,5,female_Brsc
13,female,0.8150730361421715,0,0.014483394714843435,0.22289722392581085,6051,Brsc,0,50,10,11,0,5,female_Brsc
14,female,0.8150730361421715,0,0.014483394714843435,0.22289722392581085,6051,Brsc,0,50,10,11,0,5,female_Brsc
15,female,3.657598858934549e-6,2.605063988525608e-7,2.9193126958074695e-6,3.5073337844361856e-5,6338,Brsc,0,50,15,0,0,5,female_Brsc
16,female,3.657598858934549e-6,2.605063988525608e-7,2.9193126958074695e-6,3.5073337844361856e-5,6338,Brsc,0,50,15,0,0,5,female_Brsc
17,female,3.657598858934549e-6,2.605063988525608e-7,2.9193126958074695e-6,3.5073337844361856e-5,6338,Brsc,0,50,15,0,0,5,female_Brsc
18,female,3.657598858934549e-6,2.605063988525608e-7,2.9193126958074695e-6,3.5073337844361856e-5,6338,Brsc,0,50,15,0,0,5,female_Brsc
19,female,3.657598858934549e-6,2.605063988525608e-7,2.9193126958074695e-6,3.5073337844361856e-5,6338,Brsc,0,50,15,0,0,5,female_Brsc
20,female,1.634768608356102e-5,9.895024322390672e-7,1.3127070805811858e-5,1.5784634701609482e-4,7828,Brsc,0,50,20,0,0,5,female_Brsc
21,female,1.634768608356102e-5,9.895024322390672e-7,1.3127070805811858e-5,1.5784634701609482e-4,7828,Brsc,0,50,20,0,0,5,female_Brsc
22,female,1.634768608356102e-5,9.895024322390672e-7,1.3127070805811858e-5,1.5784634701609482e-4,7828,Brsc,0,50,20,0,0,5,female_Brsc
23,female,1.634768608356102e-5,9.895024322390672e-7,1.3127070805811858e-5,1.5784634701609482e-4,7828,Brsc,0,50,20,0,0,5,female_Brsc
24,female,1.634768608356102e-5,9.895024322390672e-7,1.3127070805811858e-5,1.5784634701609482e-4,7828,Brsc,0,50,20,0,0,5,female_Brsc
25,female,1.4208575355348883e-4,7.539530046594366e-6,1.0750499125577534e-4,0.0012569201458419341,8833,Brsc,0,50,25,0,0,5,female_Brsc
26,female,1.4208575355348883e-4,7.539530046594366e-6,1.0750499125577534e-4,0.0012569201458419341,8833,Brsc,0,50,25,0,0,5,female_Brsc
27,female,1.4208575355348883e-4,7.539530046594366e-6,1.0750499125577534e-4,0.0012569201458419341,8833,Brsc,0,50,25,0,0,5,female_Brsc
28,female,1.4208575355348883e-4,7.539530046594366e-6,1.0750499125577534e-4,0.0012569201458419341,8833,Brsc,0,50,25,0,0,5,female_Brsc
29,female,1.4208575355348883e-4,7.539530046594366e-6,1.0750499125577534e-4,0.0012569201458419341,8833,Brsc,0,50,25,0,0,5,female_Brsc
30,female,3.458723179479361e-4,2.8418312060210695e-5,2.5191001292653034e-4,0.003021512967163906,7963,Brsc,0,50,30,0,0,5,female_Brsc
31,female,3.458723179479361e-4,2.8418312060210695e-5,2.5191001292653034e-4,0.003021512967163906,7963,Brsc,0,50,30,0,0,5,female_Brsc
32,female,3.458723179479361e-4,2.8418312060210695e-5,2.5191001292653034e-4,0.003021512967163906,7963,Brsc,0,50,30,0,0,5,female_Brsc
33,female,3.458723179479361e-4,2.8418312060210695e-5,2.5191001292653034e-4,0.003021512967163906,7963,Brsc,0,50,30,0,0,5,female_Brsc
34,female,3.458723179479361e-4,2.8418312060210695e-5,2.5191001292653034e-4,0.003021512967163906,7963,Brsc,0,50,30,0,0,5,female_Brsc
35,female,8.013836287247808e-4,7.920919764344472e-5,5.712772566587038e-4,0.007028767009361424,7482,Brsc,0,50,35,0,1,5,female_Brsc
36,female,8.013836287247808e-4,7.920919764344472e-5,5.712772566587038e-4,0.007028767009361424,7482,Brsc,0,50,35,0,1,5,female_Brsc
37,female,8.013836287247808e-4,7.920919764344472e-5,5.712772566587038e-4,0.007028767009361424,7482,Brsc,0,50,35,0,1,5,female_Brsc
38,female,8.013836287247808e-4,7.920919764344472e-5,5.712772566587038e-4,0.007028767009361424,7482,Brsc,0,50,35,0,1,5,female_Brsc
39,female,8.013836287247808e-4,7.920919764344472e-5,5.712772566587038e-4,0.007028767009361424,7482,Brsc,0,50,35,0,1,5,female_Brsc
40,female,0.0013678088708067354,1.4208567036604983e-4,9.724542512153481e-4,0.012155276704715461,6901,Brsc,0,50,40,1,1,5,female_Brsc
41,female,0.0013678088708067354,1.4208567036604983e-4,9.724542512153481e-4,0.012155276704715461,6901,Brsc,0,50,40,1,1,5,female_Brsc
42,female,0.0013678088708067354,1.4208567036604983e-4,9.724542512153481e-4,0.012155276704715461,6901,Brsc,0,50,40,1,1,5,female_Brsc
43,female,0.0013678088708067354,1.4208567036604983e-4,9.724542512153481e-4,0.012155276704715461,6901,Brsc,0,50,40,1,1,5,female_Brsc
44,female,0.0013678088708067354,1.4208567036604983e-4,9.724542512153481e-4,0.012155276704715461,6901,Brsc,0,50,40,1,1,5,female_Brsc
45,female,0.0022882859360775325,2.6351924822127083e-4,0.0016427038950252947,0.020615755266799044,7531,Brsc,0,50,45,1,2,5,female_Brsc
46,female,0.0022882859360775325,2.6351924822127083e-4,0.0016427038950252947,0.020615755266799044,7531,Brsc,0,50,45,1,2,5,female_Brsc
47,female,0.0022882859360775325,2.6351924822127083e-4,0.0016427038950252947,0.020615755266799044,7531,Brsc,0,50,45,1,2,5,female_Brsc
48,female,0.0022882859360775325,2.6351924822127083e-4,0.0016427038950252947,0.020615755266799044,7531,Brsc,0,50,45,1,2,5,female_Brsc
49,female,0.0022882859360775325,2.6351924822127083e-4,0.0016427038950252947,0.020615755266799044,7531,Brsc,0,50,45,1,2,5,female_Brsc
50,female,0.0026356793969887983,3.7026062313223014e-4,0.0019030885309268854,0.024369235685158707,7629,Brsc,0,50,50,1,3,5,female_Brsc
51,female,0.0026356793969887983,3.7026062313223014e-4,0.0019030885309268854,0.024369235685158707,7629,Brsc,0,50,50,1,3,5,female_Brsc
52,female,0.0026356793969887983,3.7026062313223014e-4,0.0019030885309268854,0.024369235685158707,7629,Brsc,0,50,50,1,3,5,female_Brsc
53,female,0.0026356793969887983,3.7026062313223014e-4,0.0019030885309268854,0.024369235685158707,7629,Brsc,0,50,50,1,3,5,female_Brsc
