age,sex,inc,mort,ylds..years.lived.with.disability._rate_carc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,NA,NaN,NaN,NaN,NaN,Carc,0,10,0,NaN,NaN,5,male_Carc
1,male,NA,NaN,NaN,NaN,NaN,Carc,0,10,0,NaN,NaN,5,male_Carc
2,male,NA,NaN,NaN,NaN,NaN,Carc,0,10,0,NaN,NaN,5,male_Carc
3,male,NA,NaN,NaN,NaN,NaN,Carc,0,10,0,NaN,NaN,5,male_Carc
4,male,NA,NaN,NaN,NaN,NaN,Carc,0,10,0,NaN,NaN,5,male_Carc
5,male,NA,NaN,NaN,NaN,NaN,Carc,0,10,5,NaN,NaN,5,male_Carc
6,male,NA,NaN,NaN,NaN,NaN,Carc,0,10,5,NaN,NaN,5,male_Carc
7,male,NA,NaN,NaN,NaN,NaN,Carc,0,10,5,NaN,NaN,5,male_Carc
8,male,NA,NaN,NaN,NaN,NaN,Carc,0,10,5,NaN,NaN,5,male_Carc
9,male,NA,NaN,NaN,NaN,NaN,Carc,0,10,5,NaN,NaN,5,male_Carc
10,male,NA,NaN,NaN,NaN,NaN,Carc,0,50,10,NaN,NaN,5,male_Carc
11,male,NA,NaN,NaN,NaN,NaN,Carc,0,50,10,NaN,NaN,5,male_Carc
12,male,NA,NaN,NaN,NaN,NaN,Carc,0,50,10,NaN,NaN,5,male_Carc
13,male,NA,NaN,NaN,NaN,NaN,Carc,0,50,10,NaN,NaN,5,male_Carc
14,male,NA,NaN,NaN,NaN,NaN,Carc,0,50,10,NaN,NaN,5,male_Carc
15,male,1.6418545146740661e-6,3.0032702772742894e-7,1.299736818269635e-6,1.1691156576232449e-5,6436,Carc,0,50,15,0,0,5,male_Carc
16,male,1.6418545146740661e-6,3.0032702772742894e-7,1.299736818269635e-6,1.1691156576232449e-5,6436,Carc,0,50,15,0,0,5,male_Carc
17,male,1.6418545146740661e-6,3.0032702772742894e-7,1.299736818269635e-6,1.1691156576232449e-5,6436,Carc,0,50,15,0,0,5,male_Carc
18,male,1.6418545146740661e-6,3.0032702772742894e-7,1.299736818269635e-6,1.1691156576232449e-5,6436,Carc,0,50,15,0,0,5,male_Carc
19,male,1.6418545146740661e-6,3.0032702772742894e-7,1.299736818269635e-6,1.1691156576232449e-5,6436,Carc,0,50,15,0,0,5,male_Carc
20,male,7.455532238936649e-6,1.1663652242631058e-6,5.770333865800572e-6,5.4025611688780545e-5,7845,Carc,0,50,20,0,0,5,male_Carc
21,male,7.455532238936649e-6,1.1663652242631058e-6,5.770333865800572e-6,5.4025611688780545e-5,7845,Carc,0,50,20,0,0,5,male_Carc
22,male,7.455532238936649e-6,1.1663652242631058e-6,5.770333865800572e-6,5.4025611688780545e-5,7845,Carc,0,50,20,0,0,5,male_Carc
23,male,7.455532238936649e-6,1.1663652242631058e-6,5.770333865800572e-6,5.4025611688780545e-5,7845,Carc,0,50,20,0,0,5,male_Carc
24,male,7.455532238936649e-6,1.1663652242631058e-6,5.770333865800572e-6,5.4025611688780545e-5,7845,Carc,0,50,20,0,0,5,male_Carc
25,male,1.9372825657371415e-5,3.3134576231223707e-6,1.4274579259176737e-5,1.3934953425806345e-4,9023,Carc,0,50,25,0,0,5,male_Carc
26,male,1.9372825657371415e-5,3.3134576231223707e-6,1.4274579259176737e-5,1.3934953425806345e-4,9023,Carc,0,50,25,0,0,5,male_Carc
27,male,1.9372825657371415e-5,3.3134576231223707e-6,1.4274579259176737e-5,1.3934953425806345e-4,9023,Carc,0,50,25,0,0,5,male_Carc
