age,sex,inc,mort,ylds..years.lived.with.disability._rate_cyri,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,NA,NaN,NaN,NaN,NaN,Cyri,0,10,0,NaN,NaN,5,male_Cyri
1,male,NA,NaN,NaN,NaN,NaN,Cyri,0,10,0,NaN,NaN,5,male_Cyri
2,male,NA,NaN,NaN,NaN,NaN,Cyri,0,10,0,NaN,NaN,5,male_Cyri
3,male,NA,NaN,NaN,NaN,NaN,Cyri,0,10,0,NaN,NaN,5,male_Cyri
4,male,NA,NaN,NaN,NaN,NaN,Cyri,0,10,0,NaN,NaN,5,male_Cyri
5,male,NA,NaN,NaN,NaN,NaN,Cyri,0,10,5,NaN,NaN,5,male_Cyri
6,male,NA,NaN,NaN,NaN,NaN,Cyri,0,10,5,NaN,NaN,5,male_Cyri
7,male,NA,NaN,NaN,NaN,NaN,Cyri,0,10,5,NaN,NaN,5,male_Cyri
8,male,NA,NaN,NaN,NaN,NaN,Cyri,0,10,5,NaN,NaN,5,male_Cyri
9,male,NA,NaN,NaN,NaN,NaN,Cyri,0,10,5,NaN,NaN,5,male_Cyri
10,male,NA,NaN,NaN,NaN,NaN,Cyri,0,50,10,NaN,NaN,5,male_Cyri
11,male,NA,NaN,NaN,NaN,NaN,Cyri,0,50,10,NaN,NaN,5,male_Cyri
12,male,NA,NaN,NaN,NaN,NaN,Cyri,0,50,10,NaN,NaN,5,male_Cyri
13,male,NA,NaN,NaN,NaN,NaN,Cyri,0,50,10,NaN,NaN,5,male_Cyri
14,male,NA,NaN,NaN,NaN,NaN,Cyri,0,50,10,NaN,NaN,5,male_Cyri
15,male,0.003745752354757767,3.3449827378113992e-6,1.5944869220425306e-4,0.002764105061944985,6436,Cyri,0,50,15,0,0,5,male_Cyri
16,male,0.003745752354757767,3.3449827378113992e-6,1.5944869220425306e-4,0.002764105061944985,6436,Cyri,0,50,15,0,0,5,male_Cyri
17,male,0.003745752354757767,3.3449827378113992e-6,1.5944869220425306e-4,0.002764105061944985,6436,Cyri,0,50,15,0,0,5,male_Cyri
18,male,0.003745752354757767,3.3449827378113992e-6,1.5944869220425306e-4,0.002764105061944985,6436,Cyri,0,50,15,0,0,5,male_Cyri
19,male,0.003745752354757767,3.3449827378113992e-6,1.5944869220425306e-4,0.002764105061944985,6436,Cyri,0,50,15,0,0,5,male_Cyri
20,male,0.003166014863990317,3.7482300899991026e-6,2.209595920870586e-4,0.003994081835526669,7845,Cyri,0,50,20,0,0,5,male_Cyri
21,male,0.003166014863990317,3.7482300899991026e-6,2.209595920870586e-4,0.003994081835526669,7845,Cyri,0,50,20,0,0,5,male_Cyri
22,male,0.003166014863990317,3.7482300899991026e-6,2.209595920870586e-4,0.003994081835526669,7845,Cyri,0,50,20,0,0,5,male_Cyri
23,male,0.003166014863990317,3.7482300899991026e-6,2.209595920870586e-4,0.003994081835526669,7845,Cyri,0,50,20,0,0,5,male_Cyri
24,male,0.003166014863990317,3.7482300899991026e-6,2.209595920870586e-4,0.003994081835526669,7845,Cyri,0,50,20,0,0,5,male_Cyri
25,male,0.002599240083324555,2.7374390967923563e-6,2.7546075263354115e-4,0.005052949022847493,9023,Cyri,0,50,25,0,0,5,male_Cyri
26,male,0.002599240083324555,2.7374390967923563e-6,2.7546075263354115e-4,0.005052949022847493,9023,Cyri,0,50,25,0,0,5,male_Cyri
27,male,0.002599240083324555,2.7374390967923563e-6,2.7546075263354115e-4,0.005052949022847493,9023,Cyri,0,50,25,0,0,5,male_Cyri
28,male,0.002599240083324555,2.7374390967923563e-6,2.7546075263354115e-4,0.005052949022847493,9023,Cyri,0,50,25,0,0,5,male_Cyri
29,male,0.002599240083324555,2.7374390967923563e-6,2.7546075263354115e-4,0.005052949022847493,9023,Cyri,0,50,25,0,0,5,male_Cyri
30,male,0.00236074745103852,2.7174607181362646e-6,3.237250179420488e-4,0.006049933039693635,8448,Cyri,0,50,30,0,0,5,male_Cyri
31,male,0.00236074745103852,2.7174607181362646e-6,3.237250179420488e-4,0.006049933039693635,8448,Cyri,0,50,30,0,0,5,male_Cyri
32,male,0.00236074745103852,2.7174607181362646e-6,3.237250179420488e-4,0.006049933039693635,8448,Cyri,0,50,30,0,0,5,male_Cyri
33,male,0.00236074745103852,2.7174607181362646e-6,3.237250179420488e-4,0.006049933039693635,8448,Cyri,0,50,30,0,0,5,male_Cyri
34,male,0.00236074745103852,2.7174607181362646e-6,3.237250179420488e-4,0.006049933039693635,8448,Cyri,0,50,30,0,0,5,male_Cyri
35,male,0.0023064089425171084,2.7950367743309698e-6,3.77360267005547e-4,0.007023127021302382,7997,Cyri,0,50,35,0,0,5,male_Cyri
36,male,0.0023064089425171084,2.7950367743309698e-6,3.77360267005547e-4,0.007023127021302382,7997,Cyri,0,50,35,0,0,5,male_Cyri
37,male,0.0023064089425171084,2.7950367743309698e-6,3.77360267005547e-4,0.007023127021302382,7997,Cyri,0,50,35,0,0,5,male_Cyri
38,male,0.0023064089425171084,2.7950367743309698e-6,3.77360267005547e-4,0.007023127021302382,7997,Cyri,0,50,35,0,0,5,male_Cyri
39,male,0.0023064089425171084,2.7950367743309698e-6,3.77360267005547e-4,0.007023127021302382,7997,Cyri,0,50,35,0,0,5,male_Cyri
40,male,0.0022433435408705307,4.359060332040201e-6,4.338008140699849e-4,0.008090639684572421,7179,Cyri,0,50,40,0,0,5,male_Cyri
41,male,0.0022433435408705307,4.359060332040201e-6,4.338008140699849e-4,0.008090639684572421,7179,Cyri,0,50,40,0,0,5,male_Cyri
42,male,0.0022433435408705307,4.359060332040201e-6,4.338008140699849e-4,0.008090639684572421,7179,Cyri,0,50,40,0,0,5,male_Cyri
43,male,0.0022433435408705307,4.359060332040201e-6,4.338008140699849e-4,0.008090639684572421,7179,Cyri,0,50,40,0,0,5,male_Cyri
44,male,0.0022433435408705307,4.359060332040201e-6,4.338008140699849e-4,0.008090639684572421,7179,Cyri,0,50,40,0,0,5,male_Cyri
45,male,0.0021688387211418357,4.312336898890858e-6,4.911449223706908e-4,0.0092115263957436265,7628,Cyri,0,50,45,0,0,5,male_Cyri
46,male,0.0021688387211418357,4.312336898890858e-6,4.911449223706908e-4,0.0092115263957436265,7628,Cyri,0,50,45,0,0,5,male_Cyri
47,male,0.0021688387211418357,4.312336898890858e-6,4.911449223706908e-4,0.0092115263957436265,7628,Cyri,0,50,45,0,0,5,male_Cyri
48,male,0.0021688387211418357,4.312336898890858e-6,4.911449223706908e-4,0.0092115263957436265,7628,Cyri,0,50,45,0,0,5,male_Cyri
49,male,0.0021688387211418357,4.312336898890858e-6,4.911449223706908e-4,0.0092115263957436265,7628,Cyri,0,50,45,0,0,5,male_Cyri
50,male,0.002179761003830157,4.486879902036731e-6,5.499604781131332e-4,0.010389312590126865,7605,Cyri,0,50,50,1,0,5,male_Cyri
51,male,0.002179761003830157,4.486879902036731e-6,5.499604781131332e-4,0.010389312590126865,7605,Cyri,0,50,50,1,0,5,male_Cyri
52,male,0.002179761003830157,4.486879902036731e-6,5.499604781131332e-4,0.010389312590126865,7605,Cyri,0,50,50,1,0,5,male_Cyri
53,male,0.002179761003830157,4.486879902036731e-6,5.499604781131332e-4,0.010389312590126865,7605,Cyri,0,50,50,1,0,5,male_Cyri
54,male,0.002179761003830157,4.486879902036731e-6,5.499604781131332e-4,0.010389312590126865,7605,Cyri,0,50,50,1,0,5,male_Cyri
55,male,0.001971132771582055,5.292913318777758e-6,6.069963807203535e-4,0.011599364396459323,6479,Cyri,0,50,55,1,0,5,male_Cyri
56,male,0.001971132771582055,5.292913318777758e-6,6.069963807203535e-4,0.011599364396459323,6479,Cyri,0,50,55,1,0,5,male_Cyri
57,male,0.001971132771582055,5.292913318777758e-6,6.069963807203535e-4,0.011599364396459323,6479,Cyri,0,50,55,1,0,5,male_Cyri
58,male,0.001971132771582055,5.292913318777758e-6,6.069963807203535e-4,0.011599364396459323,6479,Cyri,0,50,55,1,0,5,male_Cyri
59,male,0.001971132771582055,5.292913318777758e-6,6.069963807203535e-4,0.011599364396459323,6479,Cyri,0,50,55,1,0,5,male_Cyri
60,male,0.0015941383384596942,4.909168250855058e-6,6.557564881125829e-4,0.01274875132073259,5560,Cyri,0,50,60,1,0,5,male_Cyri
61,male,0.0015941383384596942,4.909168250855058e-6,6.557564881125829e-4,0.01274875132073259,5560,Cyri,0,50,60,1,0,5,male_Cyri
62,male,0.0015941383384596942,4.909168250855058e-6,6.557564881125829e-4,0.01274875132073259,5560,Cyri,0,50,60,1,0,5,male_Cyri
63,male,0.0015941383384596942,4.909168250855058e-6,6.557564881125829e-4,0.01274875132073259,5560,Cyri,0,50,60,1,0,5,male_Cyri
64,male,0.0015941383384596942,4.909168250855058e-6,6.557564881125829e-4,0.01274875132073259,5560,Cyri,0,50,60,1,0,5,male_Cyri
