age,sex,inc,mort,ylds..years.lived.with.disability._rate_lwri,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,NA,NaN,NaN,NaN,NaN,Lwri,0,10,0,NaN,NaN,5,male_Lwri
1,male,NA,NaN,NaN,NaN,NaN,Lwri,0,10,0,NaN,NaN,5,male_Lwri
2,male,NA,NaN,NaN,NaN,NaN,Lwri,0,10,0,NaN,NaN,5,male_Lwri
3,male,NA,NaN,NaN,NaN,NaN,Lwri,0,10,0,NaN,NaN,5,male_Lwri
4,male,NA,NaN,NaN,NaN,NaN,Lwri,0,10,0,NaN,NaN,5,male_Lwri
5,male,NA,NaN,NaN,NaN,NaN,Lwri,0,10,5,NaN,NaN,5,male_Lwri
6,male,NA,NaN,NaN,NaN,NaN,Lwri,0,10,5,NaN,NaN,5,male_Lwri
7,male,NA,NaN,NaN,NaN,NaN,Lwri,0,10,5,NaN,NaN,5,male_Lwri
8,male,NA,NaN,NaN,NaN,NaN,Lwri,0,10,5,NaN,NaN,5,male_Lwri
9,male,NA,NaN,NaN,NaN,NaN,Lwri,0,10,5,NaN,NaN,5,male_Lwri
10,male,NA,NaN,NaN,NaN,NaN,Lwri,0,50,10,NaN,NaN,5,male_Lwri
11,male,NA,NaN,NaN,NaN,NaN,Lwri,0,50,10,NaN,NaN,5,male_Lwri
12,male,NA,NaN,NaN,NaN,NaN,Lwri,0,50,10,NaN,NaN,5,male_Lwri
13,male,NA,NaN,NaN,NaN,NaN,Lwri,0,50,10,NaN,NaN,5,male_Lwri
14,male,NA,NaN,NaN,NaN,NaN,Lwri,0,50,10,NaN,NaN,5,male_Lwri
15,male,0.0059753135546854064,2.4535253712912037e-6,8.590472610489649e-6,1.327512472419635e-4,6436,Lwri,0,50,15,0,0,5,male_Lwri
16,male,0.0059753135546854064,2.4535253712912037e-6,8.590472610489649e-6,1.327512472419635e-4,6436,Lwri,0,50,15,0,0,5,male_Lwri
17,male,0.0059753135546854064,2.4535253712912037e-6,8.590472610489649e-6,1.327512472419635e-4,6436,Lwri,0,50,15,0,0,5,male_Lwri
18,male,0.0059753135546854064,2.4535253712912037e-6,8.590472610489649e-6,1.327512472419635e-4,6436,Lwri,0,50,15,0,0,5,male_Lwri
19,male,0.0059753135546854064,2.4535253712912037e-6,8.590472610489649e-6,1.327512472419635e-4,6436,Lwri,0,50,15,0,0,5,male_Lwri
20,male,0.006548054058465687,3.860023685597869e-6,9.043835076111804e-6,1.420648869287928e-4,7845,Lwri,0,50,20,0,0,5,male_Lwri
21,male,0.006548054058465687,3.860023685597869e-6,9.043835076111804e-6,1.420648869287928e-4,7845,Lwri,0,50,20,0,0,5,male_Lwri
22,male,0.006548054058465687,3.860023685597869e-6,9.043835076111804e-6,1.420648869287928e-4,7845,Lwri,0,50,20,0,0,5,male_Lwri
23,male,0.006548054058465687,3.860023685597869e-6,9.043835076111804e-6,1.420648869287928e-4,7845,Lwri,0,50,20,0,0,5,male_Lwri
24,male,0.006548054058465687,3.860023685597869e-6,9.043835076111804e-6,1.420648869287928e-4,7845,Lwri,0,50,20,0,0,5,male_Lwri
25,male,0.007904967002157917,6.360339281616223e-6,1.0892254186274847e-5,1.7083049176080237e-4,9023,Lwri,0,50,25,0,0,5,male_Lwri
26,male,0.007904967002157917,6.360339281616223e-6,1.0892254186274847e-5,1.7083049176080237e-4,9023,Lwri,0,50,25,0,0,5,male_Lwri
27,male,0.007904967002157917,6.360339281616223e-6,1.0892254186274847e-5,1.7083049176080237e-4,9023,Lwri,0,50,25,0,0,5,male_Lwri
28,male,0.007904967002157917,6.360339281616223e-6,1.0892254186274847e-5,1.7083049176080237e-4,9023,Lwri,0,50,25,0,0,5,male_Lwri
29,male,0.007904967002157917,6.360339281616223e-6,1.0892254186274847e-5,1.7083049176080237e-4,9023,Lwri,0,50,25,0,0,5,male_Lwri
30,male,0.009110738625966137,1.0399440501039379e-5,1.2502852143233253e-5,1.9614317060952856e-4,8448,Lwri,0,50,30,0,0,5,male_Lwri
31,male,0.009110738625966137,1.0399440501039379e-5,1.2502852143233253e-5,1.9614317060952856e-4,8448,Lwri,0,50,30,0,0,5,male_Lwri
32,male,0.009110738625966137,1.0399440501039379e-5,1.2502852143233253e-5,1.9614317060952856e-4,8448,Lwri,0,50,30,0,0,5,male_Lwri
33,male,0.009110738625966137,1.0399440501039379e-5,1.2502852143233253e-5,1.9614317060952856e-4,8448,Lwri,0,50,30,0,0,5,male_Lwri
34,male,0.009110738625966137,1.0399440501039379e-5,1.2502852143233253e-5,1.9614317060952856e-4,8448,Lwri,0,50,30,0,0,5,male_Lwri
35,male,0.010355606287381514,1.6416948580550334e-5,1.4065051283350359e-5,2.2221152023289516e-4,7997,Lwri,0,50,35,0,0,5,male_Lwri
36,male,0.010355606287381514,1.6416948580550334e-5,1.4065051283350359e-5,2.2221152023289516e-4,7997,Lwri,0,50,35,0,0,5,male_Lwri
37,male,0.010355606287381514,1.6416948580550334e-5,1.4065051283350359e-5,2.2221152023289516e-4,7997,Lwri,0,50,35,0,0,5,male_Lwri
38,male,0.010355606287381514,1.6416948580550334e-5,1.4065051283350359e-5,2.2221152023289516e-4,7997,Lwri,0,50,35,0,0,5,male_Lwri
39,male,0.010355606287381514,1.6416948580550334e-5,1.4065051283350359e-5,2.2221152023289516e-4,7997,Lwri,0,50,35,0,0,5,male_Lwri
40,male,0.011083641911652127,3.3408889759202225e-5,1.4982133892243995e-5,2.381864238470089e-4,7179,Lwri,0,50,40,0,0,5,male_Lwri
41,male,0.011083641911652127,3.3408889759202225e-5,1.4982133892243995e-5,2.381864238470089e-4,7179,Lwri,0,50,40,0,0,5,male_Lwri
42,male,0.011083641911652127,3.3408889759202225e-5,1.4982133892243995e-5,2.381864238470089e-4,7179,Lwri,0,50,40,0,0,5,male_Lwri
43,male,0.011083641911652127,3.3408889759202225e-5,1.4982133892243995e-5,2.381864238470089e-4,7179,Lwri,0,50,40,0,0,5,male_Lwri
44,male,0.011083641911652127,3.3408889759202225e-5,1.4982133892243995e-5,2.381864238470089e-4,7179,Lwri,0,50,40,0,0,5,male_Lwri
45,male,0.011381288703120085,4.991198042265901e-5,1.529414283987869e-5,2.4307780702437337e-4,7628,Lwri,0,50,45,0,0,5,male_Lwri
46,male,0.011381288703120085,4.991198042265901e-5,1.529414283987869e-5,2.4307780702437337e-4,7628,Lwri,0,50,45,0,0,5,male_Lwri
47,male,0.011381288703120085,4.991198042265901e-5,1.529414283987869e-5,2.4307780702437337e-4,7628,Lwri,0,50,45,0,0,5,male_Lwri
48,male,0.011381288703120085,4.991198042265901e-5,1.529414283987869e-5,2.4307780702437337e-4,7628,Lwri,0,50,45,0,0,5,male_Lwri
49,male,0.011381288703120085,4.991198042265901e-5,1.529414283987869e-5,2.4307780702437337e-4,7628,Lwri,0,50,45,0,0,5,male_Lwri
50,male,0.011729770285394797,7.359682951947044e-5,1.5607570378855456e-5,2.4914368598940597e-4,7605,Lwri,0,50,50,0,1,5,male_Lwri
51,male,0.011729770285394797,7.359682951947044e-5,1.5607570378855456e-5,2.4914368598940597e-4,7605,Lwri,0,50,50,0,1,5,male_Lwri
52,male,0.011729770285394797,7.359682951947044e-5,1.5607570378855456e-5,2.4914368598940597e-4,7605,Lwri,0,50,50,0,1,5,male_Lwri
53,male,0.011729770285394797,7.359682951947044e-5,1.5607570378855456e-5,2.4914368598940597e-4,7605,Lwri,0,50,50,0,1,5,male_Lwri
54,male,0.011729770285394797,7.359682951947044e-5,1.5607570378855456e-5,2.4914368598940597e-4,7605,Lwri,0,50,50,0,1,5,male_Lwri
55,male,0.012156516815233014,1.044677774118309e-4,1.597959984145281e-5,2.57086118308176e-4,6479,Lwri,0,50,55,0,1,5,male_Lwri
56,male,0.012156516815233014,1.044677774118309e-4,1.597959984145281e-5,2.57086118308176e-4,6479,Lwri,0,50,55,0,1,5,male_Lwri
57,male,0.012156516815233014,1.044677774118309e-4,1.597959984145281e-5,2.57086118308176e-4,6479,Lwri,0,50,55,0,1,5,male_Lwri
58,male,0.012156516815233014,1.044677774118309e-4,1.597959984145281e-5,2.57086118308176e-4,6479,Lwri,0,50,55,0,1,5,male_Lwri
59,male,0.012156516815233014,1.044677774118309e-4,1.597959984145281e-5,2.57086118308176e-4,6479,Lwri,0,50,55,0,1,5,male_Lwri
60,male,0.017992239354081924,1.9427821694739092e-4,2.2168027403825715e-5,3.609082345343131e-4,5560,Lwri,0,50,60,0,1,5,male_Lwri
61,male,0.017992239354081924,1.9427821694739092e-4,2.2168027403825715e-5,3.609082345343131e-4,5560,Lwri,0,50,60,0,1,5,male_Lwri
62,male,0.017992239354081924,1.9427821694739092e-4,2.2168027403825715e-5,3.609082345343131e-4,5560,Lwri,0,50,60,0,1,5,male_Lwri
63,male,0.017992239354081924,1.9427821694739092e-4,2.2168027403825715e-5,3.609082345343131e-4,5560,Lwri,0,50,60,0,1,5,male_Lwri
64,male,0.017992239354081924,1.9427821694739092e-4,2.2168027403825715e-5,3.609082345343131e-4,5560,Lwri,0,50,60,0,1,5,male_Lwri
65,male,0.029060157270529838,3.126049703071604e-4,3.6156197072142334e-5,6.000078290508014e-4,5418,Lwri,0,50,65,0,2,5,male_Lwri
66,male,0.029060157270529838,3.126049703071604e-4,3.6156197072142334e-5,6.000078290508014e-4,5418,Lwri,0,50,65,0,2,5,male_Lwri
67,male,0.029060157270529838,3.126049703071604e-4,3.6156197072142334e-5,6.000078290508014e-4,5418,Lwri,0,50,65,0,2,5,male_Lwri
68,male,0.029060157270529838,3.126049703071604e-4,3.6156197072142334e-5,6.000078290508014e-4,5418,Lwri,0,50,65,0,2,5,male_Lwri
69,male,0.029060157270529838,3.126049703071604e-4,3.6156197072142334e-5,6.000078290508014e-4,5418,Lwri,0,50,65,0,2,5,male_Lwri
70,male,0.0400261164369008,5.85391695949309e-4,4.923634797202492e-5,8.454913596568852e-4,4800,Lwri,0,50,70,0,3,5,male_Lwri
71,male,0.0400261164369008,5.85391695949309e-4,4.923634797202492e-5,8.454913596568852e-4,4800,Lwri,0,50,70,0,3,5,male_Lwri
72,male,0.0400261164369008,5.85391695949309e-4,4.923634797202492e-5,8.454913596568852e-4,4800,Lwri,0,50,70,0,3,5,male_Lwri
73,male,0.0400261164369008,5.85391695949309e-4,4.923634797202492e-5,8.454913596568852e-4,4800,Lwri,0,50,70,0,3,5,male_Lwri
74,male,0.0400261164369008,5.85391695949309e-4,4.923634797202492e-5,8.454913596568852e-4,4800,Lwri,0,50,70,0,3,5,male_Lwri
75,male,0.05110879641307603,0.0013400098441181914,6.288277382332668e-5,0.0011006333603469905,3332,Lwri,0,50,75,0,4,5,male_Lwri
76,male,0.05110879641307603,0.0013400098441181914,6.288277382332668e-5,0.0011006333603469905,3332,Lwri,0,50,75,0,4,5,male_Lwri
77,male,0.05110879641307603,0.0013400098441181914,6.288277382332668e-5,0.0011006333603469905,3332,Lwri,0,50,75,0,4,5,male_Lwri
78,male,0.05110879641307603,0.0013400098441181914,6.288277382332668e-5,0.0011006333603469905,3332,Lwri,0,50,75,0,4,5,male_Lwri
79,male,0.05110879641307603,0.0013400098441181914,6.288277382332668e-5,0.0011006333603469905,3332,Lwri,0,50,75,0,4,5,male_Lwri
80,male,0.0998116892484599,0.003637052243717423,1.1180380975138251e-4,0.0020089717409352012,2291,Lwri,0,20,80,0,8,5,male_Lwri
81,male,0.0998116892484599,0.003637052243717423,1.1180380975138251e-4,0.0020089717409352012,2291,Lwri,0,20,80,0,8,5,male_Lwri
82,male,0.0998116892484599,0.003637052243717423,1.1180380975138251e-4,0.0020089717409352012,2291,Lwri,0,20,80,0,8,5,male_Lwri
83,male,0.0998116892484599,0.003637052243717423,1.1180380975138251e-4,0.0020089717409352012,2291,Lwri,0,20,80,0,8,5,male_Lwri
84,male,0.0998116892484599,0.003637052243717423,1.1180380975138251e-4,0.0020089717409352012,2291,Lwri,0,20,80,0,8,5,male_Lwri
85,male,0.18629795777506683,0.011688952556716797,2.042966738235572e-4,0.003777122682864831,1276,Lwri,0,20,85,0,15,5,male_Lwri
86,male,0.18629795777506683,0.011688952556716797,2.042966738235572e-4,0.003777122682864831,1276,Lwri,0,20,85,0,15,5,male_Lwri
87,male,0.18629795777506683,0.011688952556716797,2.042966738235572e-4,0.003777122682864831,1276,Lwri,0,20,85,0,15,5,male_Lwri
88,male,0.18629795777506683,0.011688952556716797,2.042966738235572e-4,0.003777122682864831,1276,Lwri,0,20,85,0,15,5,male_Lwri
89,male,0.18629795777506683,0.011688952556716797,2.042966738235572e-4,0.003777122682864831,1276,Lwri,0,20,85,0,15,5,male_Lwri
90,male,0.27267334273944577,0.020027736990010144,2.901280515888031e-4,0.005465873253815412,506,Lwri,0,10,90,0,10,5,male_Lwri
91,male,0.27267334273944577,0.020027736990010144,2.901280515888031e-4,0.005465873253815412,506,Lwri,0,10,90,0,10,5,male_Lwri
92,male,0.27267334273944577,0.020027736990010144,2.901280515888031e-4,0.005465873253815412,506,Lwri,0,10,90,0,10,5,male_Lwri
93,male,0.27267334273944577,0.020027736990010144,2.901280515888031e-4,0.005465873253815412,506,Lwri,0,10,90,0,10,5,male_Lwri
94,male,0.27267334273944577,0.020027736990010144,2.901280515888031e-4,0.005465873253815412,506,Lwri,0,10,90,0,10,5,male_Lwri
95,male,0.3585672752531126,0.036701009609639595,3.7167520628567547e-4,0.007077742053675535,91,Lwri,0,10,95,0,3,6,male_Lwri
96,male,0.3585672752531126,0.036701009609639595,3.7167520628567547e-4,0.007077742053675535,91,Lwri,0,10,95,0,3,6,male_Lwri
97,male,0.3585672752531126,0.036701009609639595,3.7167520628567547e-4,0.007077742053675535,91,Lwri,0,10,95,0,3,6,male_Lwri
98,male,0.3585672752531126,0.036701009609639595,3.7167520628567547e-4,0.007077742053675535,91,Lwri,0,10,95,0,3,6,male_Lwri
99,male,0.3585672752531126,0.036701009609639595,3.7167520628567547e-4,0.007077742053675535,91,Lwri,0,10,95,0,3,6,male_Lwri
100,male,0.3585672752531126,0.036701009609639595,3.7167520628567547e-4,0.007077742053675535,91,Lwri,0,10,95,0,3,6,male_Lwri
