age,sex,inc,mort,ylds..years.lived.with.disability._rate_mtri,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,NA,NaN,NaN,NaN,NaN,Mtri,0,10,0,NaN,NaN,5,female_Mtri
1,female,NA,NaN,NaN,NaN,NaN,Mtri,0,10,0,NaN,NaN,5,female_Mtri
2,female,NA,NaN,NaN,NaN,NaN,Mtri,0,10,0,NaN,NaN,5,female_Mtri
3,female,NA,NaN,NaN,NaN,NaN,Mtri,0,10,0,NaN,NaN,5,female_Mtri
4,female,NA,NaN,NaN,NaN,NaN,Mtri,0,10,0,NaN,NaN,5,female_Mtri
5,female,NA,NaN,NaN,NaN,NaN,Mtri,0,10,5,NaN,NaN,5,female_Mtri
6,female,NA,NaN,NaN,NaN,NaN,Mtri,0,10,5,NaN,NaN,5,female_Mtri
7,female,NA,NaN,NaN,NaN,NaN,Mtri,0,10,5,NaN,NaN,5,female_Mtri
8,female,NA,NaN,NaN,NaN,NaN,Mtri,0,10,5,NaN,NaN,5,female_Mtri
9,female,NA,NaN,NaN,NaN,NaN,Mtri,0,10,5,NaN,NaN,5,female_Mtri
10,female,NA,NaN,NaN,NaN,NaN,Mtri,0,50,10,NaN,NaN,5,female_Mtri
11,female,NA,NaN,NaN,NaN,NaN,Mtri,0,50,10,NaN,NaN,5,female_Mtri
12,female,NA,NaN,NaN,NaN,NaN,Mtri,0,50,10,NaN,NaN,5,female_Mtri
13,female,NA,NaN,NaN,NaN,NaN,Mtri,0,50,10,NaN,NaN,5,female_Mtri
14,female,NA,NaN,NaN,NaN,NaN,Mtri,0,50,10,NaN,NaN,5,female_Mtri
15,female,8.985014714154807e-4,1.8334072289203774e-6,6.41185425294297e-5,0.0011434565052886136,6338,Mtri,0,50,15,0,0,5,female_Mtri
16,female,8.985014714154807e-4,1.8334072289203774e-6,6.41185425294297e-5,0.0011434565052886136,6338,Mtri,0,50,15,0,0,5,female_Mtri
17,female,8.985014714154807e-4,1.8334072289203774e-6,6.41185425294297e-5,0.0011434565052886136,6338,Mtri,0,50,15,0,0,5,female_Mtri
18,female,8.985014714154807e-4,1.8334072289203774e-6,6.41185425294297e-5,0.0011434565052886136,6338,Mtri,0,50,15,0,0,5,female_Mtri
19,female,8.985014714154807e-4,1.8334072289203774e-6,6.41185425294297e-5,0.0011434565052886136,6338,Mtri,0,50,15,0,0,5,female_Mtri
20,female,8.434823754047827e-4,1.4670294746549232e-6,9.366967997198898e-5,0.00175654300942845,7828,Mtri,0,50,20,0,0,5,female_Mtri
21,female,8.434823754047827e-4,1.4670294746549232e-6,9.366967997198898e-5,0.00175654300942845,7828,Mtri,0,50,20,0,0,5,female_Mtri
22,female,8.434823754047827e-4,1.4670294746549232e-6,9.366967997198898e-5,0.00175654300942845,7828,Mtri,0,50,20,0,0,5,female_Mtri
23,female,8.434823754047827e-4,1.4670294746549232e-6,9.366967997198898e-5,0.00175654300942845,7828,Mtri,0,50,20,0,0,5,female_Mtri
24,female,8.434823754047827e-4,1.4670294746549232e-6,9.366967997198898e-5,0.00175654300942845,7828,Mtri,0,50,20,0,0,5,female_Mtri
25,female,6.581026339976657e-4,1.0075260301603176e-6,1.1671572337758995e-4,0.0022382151334814186,8833,Mtri,0,50,25,0,0,5,female_Mtri
26,female,6.581026339976657e-4,1.0075260301603176e-6,1.1671572337758995e-4,0.0022382151334814186,8833,Mtri,0,50,25,0,0,5,female_Mtri
27,female,6.581026339976657e-4,1.0075260301603176e-6,1.1671572337758995e-4,0.0022382151334814186,8833,Mtri,0,50,25,0,0,5,female_Mtri
28,female,6.581026339976657e-4,1.0075260301603176e-6,1.1671572337758995e-4,0.0022382151334814186,8833,Mtri,0,50,25,0,0,5,female_Mtri
29,female,6.581026339976657e-4,1.0075260301603176e-6,1.1671572337758995e-4,0.0022382151334814186,8833,Mtri,0,50,25,0,0,5,female_Mtri
30,female,5.211005979052053e-4,7.968512456685345e-7,1.4016033691611435e-4,0.002736967223567058,7963,Mtri,0,50,30,0,0,5,female_Mtri
31,female,5.211005979052053e-4,7.968512456685345e-7,1.4016033691611435e-4,0.002736967223567058,7963,Mtri,0,50,30,0,0,5,female_Mtri
