age,sex,inc,mort,ylds..years.lived.with.disability._rate_mtri,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,NA,NaN,NaN,NaN,NaN,Mtri,0,10,0,NaN,NaN,5,male_Mtri
1,male,NA,NaN,NaN,NaN,NaN,Mtri,0,10,0,NaN,NaN,5,male_Mtri
2,male,NA,NaN,NaN,NaN,NaN,Mtri,0,10,0,NaN,NaN,5,male_Mtri
3,male,NA,NaN,NaN,NaN,NaN,Mtri,0,10,0,NaN,NaN,5,male_Mtri
4,male,NA,NaN,NaN,NaN,NaN,Mtri,0,10,0,NaN,NaN,5,male_Mtri
5,male,NA,NaN,NaN,NaN,NaN,Mtri,0,10,5,NaN,NaN,5,male_Mtri
6,male,NA,NaN,NaN,NaN,NaN,Mtri,0,10,5,NaN,NaN,5,male_Mtri
7,male,NA,NaN,NaN,NaN,NaN,Mtri,0,10,5,NaN,NaN,5,male_Mtri
8,male,NA,NaN,NaN,NaN,NaN,Mtri,0,10,5,NaN,NaN,5,male_Mtri
9,male,NA,NaN,NaN,NaN,NaN,Mtri,0,10,5,NaN,NaN,5,male_Mtri
10,male,NA,NaN,NaN,NaN,NaN,Mtri,0,50,10,NaN,NaN,5,male_Mtri
11,male,NA,NaN,NaN,NaN,NaN,Mtri,0,50,10,NaN,NaN,5,male_Mtri
12,male,NA,NaN,NaN,NaN,NaN,Mtri,0,50,10,NaN,NaN,5,male_Mtri
13,male,NA,NaN,NaN,NaN,NaN,Mtri,0,50,10,NaN,NaN,5,male_Mtri
14,male,NA,NaN,NaN,NaN,NaN,Mtri,0,50,10,NaN,NaN,5,male_Mtri
15,male,0.001998234484134736,1.346471242454976e-5,1.138285000839081e-4,0.0018889599795895002,6436,Mtri,0,50,15,0,0,5,male_Mtri
16,male,0.001998234484134736,1.346471242454976e-5,1.138285000839081e-4,0.0018889599795895002,6436,Mtri,0,50,15,0,0,5,male_Mtri
17,male,0.001998234484134736,1.346471242454976e-5,1.138285000839081e-4,0.0018889599795895002,6436,Mtri,0,50,15,0,0,5,male_Mtri
18,male,0.001998234484134736,1.346471242454976e-5,1.138285000839081e-4,0.0018889599795895002,6436,Mtri,0,50,15,0,0,5,male_Mtri
19,male,0.001998234484134736,1.346471242454976e-5,1.138285000839081e-4,0.0018889599795895002,6436,Mtri,0,50,15,0,0,5,male_Mtri
20,male,0.002176760571606913,2.1809865319912205e-5,1.8343617789302497e-4,0.0032043763947631008,7845,Mtri,0,50,20,0,0,5,male_Mtri
21,male,0.002176760571606913,2.1809865319912205e-5,1.8343617789302497e-4,0.0032043763947631008,7845,Mtri,0,50,20,0,0,5,male_Mtri
22,male,0.002176760571606913,2.1809865319912205e-5,1.8343617789302497e-4,0.0032043763947631008,7845,Mtri,0,50,20,0,0,5,male_Mtri
23,male,0.002176760571606913,2.1809865319912205e-5,1.8343617789302497e-4,0.0032043763947631008,7845,Mtri,0,50,20,0,0,5,male_Mtri
24,male,0.002176760571606913,2.1809865319912205e-5,1.8343617789302497e-4,0.0032043763947631008,7845,Mtri,0,50,20,0,0,5,male_Mtri
25,male,0.0017987124532468947,1.9657422113534568e-5,2.44347803746175e-4,0.004372138405506979,9023,Mtri,0,50,25,0,0,5,male_Mtri
