age,sex,inc,mort,ylds..years.lived.with.disability._rate_mvri,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,NA,NaN,NaN,NaN,NaN,Mvri,0,10,0,NaN,NaN,5,female_Mvri
1,female,NA,NaN,NaN,NaN,NaN,Mvri,0,10,0,NaN,NaN,5,female_Mvri
2,female,NA,NaN,NaN,NaN,NaN,Mvri,0,10,0,NaN,NaN,5,female_Mvri
3,female,NA,NaN,NaN,NaN,NaN,Mvri,0,10,0,NaN,NaN,5,female_Mvri
4,female,NA,NaN,NaN,NaN,NaN,Mvri,0,10,0,NaN,NaN,5,female_Mvri
5,female,NA,NaN,NaN,NaN,NaN,Mvri,0,10,5,NaN,NaN,5,female_Mvri
6,female,NA,NaN,NaN,NaN,NaN,Mvri,0,10,5,NaN,NaN,5,female_Mvri
7,female,NA,NaN,NaN,NaN,NaN,Mvri,0,10,5,NaN,NaN,5,female_Mvri
8,female,NA,NaN,NaN,NaN,NaN,Mvri,0,10,5,NaN,NaN,5,female_Mvri
9,female,NA,NaN,NaN,NaN,NaN,Mvri,0,10,5,NaN,NaN,5,female_Mvri
10,female,NA,NaN,NaN,NaN,NaN,Mvri,0,50,10,NaN,NaN,5,female_Mvri
11,female,NA,NaN,NaN,NaN,NaN,Mvri,0,50,10,NaN,NaN,5,female_Mvri
12,female,NA,NaN,NaN,NaN,NaN,Mvri,0,50,10,NaN,NaN,5,female_Mvri
13,female,NA,NaN,NaN,NaN,NaN,Mvri,0,50,10,NaN,NaN,5,female_Mvri
14,female,NA,NaN,NaN,NaN,NaN,Mvri,0,50,10,NaN,NaN,5,female_Mvri
15,female,0.003999180347134152,1.8819989154911273e-5,1.975555244769291e-4,0.0028504370927898834,6338,Mvri,0,50,15,0,0,5,female_Mvri
16,female,0.003999180347134152,1.8819989154911273e-5,1.975555244769291e-4,0.0028504370927898834,6338,Mvri,0,50,15,0,0,5,female_Mvri
17,female,0.003999180347134152,1.8819989154911273e-5,1.975555244769291e-4,0.0028504370927898834,6338,Mvri,0,50,15,0,0,5,female_Mvri
18,female,0.003999180347134152,1.8819989154911273e-5,1.975555244769291e-4,0.0028504370927898834,6338,Mvri,0,50,15,0,0,5,female_Mvri
19,female,0.003999180347134152,1.8819989154911273e-5,1.975555244769291e-4,0.0028504370927898834,6338,Mvri,0,50,15,0,0,5,female_Mvri
20,female,0.004098499946372458,1.438345270799782e-5,2.771098578538091e-4,0.004153488422402934,7828,Mvri,0,50,20,0,0,5,female_Mvri
21,female,0.004098499946372458,1.438345270799782e-5,2.771098578538091e-4,0.004153488422402934,7828,Mvri,0,50,20,0,0,5,female_Mvri
22,female,0.004098499946372458,1.438345270799782e-5,2.771098578538091e-4,0.004153488422402934,7828,Mvri,0,50,20,0,0,5,female_Mvri
23,female,0.004098499946372458,1.438345270799782e-5,2.771098578538091e-4,0.004153488422402934,7828,Mvri,0,50,20,0,0,5,female_Mvri
