age,sex,mort,inc,prev,ylds..years.lived.with.disability._rate_rdin,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,5.863445203049842e-6,0.0016003148588205353,3.6241719338510727e-4,2.7229502378245598e-5,6980,Rdin,0,10,0,0,0,5,male_Rdin
1,male,5.863445203049842e-6,0.0016003148588205353,3.6241719338510727e-4,2.7229502378245598e-5,6980,Rdin,0,10,0,0,0,5,male_Rdin
2,male,5.863445203049842e-6,0.0016003148588205353,3.6241719338510727e-4,2.7229502378245598e-5,6980,Rdin,0,10,0,0,0,5,male_Rdin
3,male,5.863445203049842e-6,0.0016003148588205353,3.6241719338510727e-4,2.7229502378245598e-5,6980,Rdin,0,10,0,0,0,5,male_Rdin
4,male,5.863445203049842e-6,0.0016003148588205353,3.6241719338510727e-4,2.7229502378245598e-5,6980,Rdin,0,10,0,0,0,5,male_Rdin
5,male,5.734720434131978e-6,0.005096642414721782,0.0018343597584326472,1.2592892756797496e-4,6917,Rdin,0,10,5,0,0,5,male_Rdin
6,male,5.734720434131978e-6,0.005096642414721782,0.0018343597584326472,1.2592892756797496e-4,6917,Rdin,0,10,5,0,0,5,male_Rdin
7,male,5.734720434131978e-6,0.005096642414721782,0.0018343597584326472,1.2592892756797496e-4,6917,Rdin,0,10,5,0,0,5,male_Rdin
8,male,5.734720434131978e-6,0.005096642414721782,0.0018343597584326472,1.2592892756797496e-4,6917,Rdin,0,10,5,0,0,5,male_Rdin
9,male,5.734720434131978e-6,0.005096642414721782,0.0018343597584326472,1.2592892756797496e-4,6917,Rdin,0,10,5,0,0,5,male_Rdin
10,male,1.140695207205786e-5,0.008411537233419194,0.00461854777155494,2.9953216243738036e-4,6234,Rdin,0,50,10,0,0,5,male_Rdin
11,male,1.140695207205786e-5,0.008411537233419194,0.00461854777155494,2.9953216243738036e-4,6234,Rdin,0,50,10,0,0,5,male_Rdin
12,male,1.140695207205786e-5,0.008411537233419194,0.00461854777155494,2.9953216243738036e-4,6234,Rdin,0,50,10,0,0,5,male_Rdin
13,male,1.140695207205786e-5,0.008411537233419194,0.00461854777155494,2.9953216243738036e-4,6234,Rdin,0,50,10,0,0,5,male_Rdin
14,male,1.140695207205786e-5,0.008411537233419194,0.00461854777155494,2.9953216243738036e-4,6234,Rdin,0,50,10,0,0,5,male_Rdin
15,male,5.733142832916574e-5,0.010708712437230152,0.008488123832009873,5.309256147693376e-4,6436,Rdin,0,50,15,0,0,5,male_Rdin
16,male,5.733142832916574e-5,0.010708712437230152,0.008488123832009873,5.309256147693376e-4,6436,Rdin,0,50,15,0,0,5,male_Rdin
17,male,5.733142832916574e-5,0.010708712437230152,0.008488123832009873,5.309256147693376e-4,6436,Rdin,0,50,15,0,0,5,male_Rdin
18,male,5.733142832916574e-5,0.010708712437230152,0.008488123832009873,5.309256147693376e-4,6436,Rdin,0,50,15,0,0,5,male_Rdin
19,male,5.733142832916574e-5,0.010708712437230152,0.008488123832009873,5.309256147693376e-4,6436,Rdin,0,50,15,0,0,5,male_Rdin
20,male,8.291209249943935e-5,0.010736812000740836,0.012999581709351936,7.836527798013965e-4,7845,Rdin,0,50,20,1,1,5,male_Rdin
21,male,8.291209249943935e-5,0.010736812000740836,0.012999581709351936,7.836527798013965e-4,7845,Rdin,0,50,20,1,1,5,male_Rdin
22,male,8.291209249943935e-5,0.010736812000740836,0.012999581709351936,7.836527798013965e-4,7845,Rdin,0,50,20,1,1,5,male_Rdin
23,male,8.291209249943935e-5,0.010736812000740836,0.012999581709351936,7.836527798013965e-4,7845,Rdin,0,50,20,1,1,5,male_Rdin
24,male,8.291209249943935e-5,0.010736812000740836,0.012999581709351936,7.836527798013965e-4,7845,Rdin,0,50,20,1,1,5,male_Rdin
25,male,6.538988742156545e-5,0.008958661910006837,0.017165108256277647,0.001008539003311497,9023,Rdin,0,50,25,1,1,5,male_Rdin
26,male,6.538988742156545e-5,0.008958661910006837,0.017165108256277647,0.001008539003311497,9023,Rdin,0,50,25,1,1,5,male_Rdin
27,male,6.538988742156545e-5,0.008958661910006837,0.017165108256277647,0.001008539003311497,9023,Rdin,0,50,25,1,1,5,male_Rdin
28,male,6.538988742156545e-5,0.008958661910006837,0.017165108256277647,0.001008539003311497,9023,Rdin,0,50,25,1,1,5,male_Rdin
29,male,6.538988742156545e-5,0.008958661910006837,0.017165108256277647,0.001008539003311497,9023,Rdin,0,50,25,1,1,5,male_Rdin
30,male,4.962680139688758e-5,0.007537382323486701,0.02121581755206028,0.0012145519759053137,8448,Rdin,0,50,30,1,0,5,male_Rdin
31,male,4.962680139688758e-5,0.007537382323486701,0.02121581755206028,0.0012145519759053137,8448,Rdin,0,50,30,1,0,5,male_Rdin
32,male,4.962680139688758e-5,0.007537382323486701,0.02121581755206028,0.0012145519759053137,8448,Rdin,0,50,30,1,0,5,male_Rdin
33,male,4.962680139688758e-5,0.007537382323486701,0.02121581755206028,0.0012145519759053137,8448,Rdin,0,50,30,1,0,5,male_Rdin
34,male,4.962680139688758e-5,0.007537382323486701,0.02121581755206028,0.0012145519759053137,8448,Rdin,0,50,30,1,0,5,male_Rdin
35,male,4.39692862279097e-5,0.006829390207178192,0.024765568957162018,0.001406496387479222,7997,Rdin,0,50,35,1,0,5,male_Rdin
36,male,4.39692862279097e-5,0.006829390207178192,0.024765568957162018,0.001406496387479222,7997,Rdin,0,50,35,1,0,5,male_Rdin
37,male,4.39692862279097e-5,0.006829390207178192,0.024765568957162018,0.001406496387479222,7997,Rdin,0,50,35,1,0,5,male_Rdin
38,male,4.39692862279097e-5,0.006829390207178192,0.024765568957162018,0.001406496387479222,7997,Rdin,0,50,35,1,0,5,male_Rdin
39,male,4.39692862279097e-5,0.006829390207178192,0.024765568957162018,0.001406496387479222,7997,Rdin,0,50,35,1,0,5,male_Rdin
40,male,5.297005471417915e-5,0.0063021307064767395,0.028514389481602304,0.0016073922362042161,7179,Rdin,0,50,40,1,0,5,male_Rdin
41,male,5.297005471417915e-5,0.0063021307064767395,0.028514389481602304,0.0016073922362042161,7179,Rdin,0,50,40,1,0,5,male_Rdin
42,male,5.297005471417915e-5,0.0063021307064767395,0.028514389481602304,0.0016073922362042161,7179,Rdin,0,50,40,1,0,5,male_Rdin
43,male,5.297005471417915e-5,0.0063021307064767395,0.028514389481602304,0.0016073922362042161,7179,Rdin,0,50,40,1,0,5,male_Rdin
44,male,5.297005471417915e-5,0.0063021307064767395,0.028514389481602304,0.0016073922362042161,7179,Rdin,0,50,40,1,0,5,male_Rdin
45,male,4.954604739173532e-5,0.00588936259090465,0.032141664383825326,0.001793330443572526,7628,Rdin,0,50,45,2,0,5,male_Rdin
46,male,4.954604739173532e-5,0.00588936259090465,0.032141664383825326,0.001793330443572526,7628,Rdin,0,50,45,2,0,5,male_Rdin
47,male,4.954604739173532e-5,0.00588936259090465,0.032141664383825326,0.001793330443572526,7628,Rdin,0,50,45,2,0,5,male_Rdin
48,male,4.954604739173532e-5,0.00588936259090465,0.032141664383825326,0.001793330443572526,7628,Rdin,0,50,45,2,0,5,male_Rdin
49,male,4.954604739173532e-5,0.00588936259090465,0.032141664383825326,0.001793330443572526,7628,Rdin,0,50,45,2,0,5,male_Rdin
50,male,4.608342775623281e-5,0.005457363570111913,0.03591739384680156,0.0019791120454371977,7605,Rdin,0,50,50,2,0,5,male_Rdin
51,male,4.608342775623281e-5,0.005457363570111913,0.03591739384680156,0.0019791120454371977,7605,Rdin,0,50,50,2,0,5,male_Rdin
52,male,4.608342775623281e-5,0.005457363570111913,0.03591739384680156,0.0019791120454371977,7605,Rdin,0,50,50,2,0,5,male_Rdin
53,male,4.608342775623281e-5,0.005457363570111913,0.03591739384680156,0.0019791120454371977,7605,Rdin,0,50,50,2,0,5,male_Rdin
54,male,4.608342775623281e-5,0.005457363570111913,0.03591739384680156,0.0019791120454371977,7605,Rdin,0,50,50,2,0,5,male_Rdin
55,male,4.318357184387785e-5,0.004682585633465858,0.03905539970770767,0.0021187445309320727,6479,Rdin,0,50,55,2,0,5,male_Rdin
56,male,4.318357184387785e-5,0.004682585633465858,0.03905539970770767,0.0021187445309320727,6479,Rdin,0,50,55,2,0,5,male_Rdin
57,male,4.318357184387785e-5,0.004682585633465858,0.03905539970770767,0.0021187445309320727,6479,Rdin,0,50,55,2,0,5,male_Rdin
58,male,4.318357184387785e-5,0.004682585633465858,0.03905539970770767,0.0021187445309320727,6479,Rdin,0,50,55,2,0,5,male_Rdin
