age,sex,inc,mort,ylds..years.lived.with.disability._rate_strk,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,NA,NaN,NaN,NaN,NaN,Strk,0,10,0,NaN,NaN,5,female_Strk
1,female,NA,NaN,NaN,NaN,NaN,Strk,0,10,0,NaN,NaN,5,female_Strk
2,female,NA,NaN,NaN,NaN,NaN,Strk,0,10,0,NaN,NaN,5,female_Strk
3,female,NA,NaN,NaN,NaN,NaN,Strk,0,10,0,NaN,NaN,5,female_Strk
4,female,NA,NaN,NaN,NaN,NaN,Strk,0,10,0,NaN,NaN,5,female_Strk
5,female,NA,NaN,NaN,NaN,NaN,Strk,0,10,5,NaN,NaN,5,female_Strk
6,female,NA,NaN,NaN,NaN,NaN,Strk,0,10,5,NaN,NaN,5,female_Strk
7,female,NA,NaN,NaN,NaN,NaN,Strk,0,10,5,NaN,NaN,5,female_Strk
8,female,NA,NaN,NaN,NaN,NaN,Strk,0,10,5,NaN,NaN,5,female_Strk
9,female,NA,NaN,NaN,NaN,NaN,Strk,0,10,5,NaN,NaN,5,female_Strk
10,female,NA,NaN,NaN,NaN,NaN,Strk,0,50,10,NaN,NaN,5,female_Strk
11,female,NA,NaN,NaN,NaN,NaN,Strk,0,50,10,NaN,NaN,5,female_Strk
12,female,NA,NaN,NaN,NaN,NaN,Strk,0,50,10,NaN,NaN,5,female_Strk
13,female,NA,NaN,NaN,NaN,NaN,Strk,0,50,10,NaN,NaN,5,female_Strk
14,female,NA,NaN,NaN,NaN,NaN,Strk,0,50,10,NaN,NaN,5,female_Strk
15,female,5.297329390299583e-5,2.491588337061995e-6,1.7783379707684272e-4,7.259813979951409e-4,6338,Strk,0,50,15,0,0,5,female_Strk
16,female,5.297329390299583e-5,2.491588337061995e-6,1.7783379707684272e-4,7.259813979951409e-4,6338,Strk,0,50,15,0,0,5,female_Strk
17,female,5.297329390299583e-5,2.491588337061995e-6,1.7783379707684272e-4,7.259813979951409e-4,6338,Strk,0,50,15,0,0,5,female_Strk
18,female,5.297329390299583e-5,2.491588337061995e-6,1.7783379707684272e-4,7.259813979951409e-4,6338,Strk,0,50,15,0,0,5,female_Strk
19,female,5.297329390299583e-5,2.491588337061995e-6,1.7783379707684272e-4,7.259813979951409e-4,6338,Strk,0,50,15,0,0,5,female_Strk
20,female,6.780257310974533e-5,4.048702522735908e-6,2.2900379923055284e-4,0.0010149971397734419,7828,Strk,0,50,20,0,0,5,female_Strk
21,female,6.780257310974533e-5,4.048702522735908e-6,2.2900379923055284e-4,0.0010149971397734419,7828,Strk,0,50,20,0,0,5,female_Strk
22,female,6.780257310974533e-5,4.048702522735908e-6,2.2900379923055284e-4,0.0010149971397734419,7828,Strk,0,50,20,0,0,5,female_Strk
