age,sex,age_cat,sex_age_cat,population_number,dw_adj_crdd,dw_adj_tbalc,dw_adj_brsc,dw_adj_utrc,dw_adj_carc,dw_adj_ishd,dw_adj_strk,dw_adj_iscs,dw_adj_copd,dw_adj_adaod,dw_adj_stmc,dw_adj_lvrc,dw_adj_dmt2,deaths_rate_pedestrian,ylds_rate_pedestrian,deaths_rate_cyclist,ylds_rate_cyclist,deaths_rate_motorcyclist,ylds_rate_motorcyclist,deaths_rate_motor,ylds_rate_motor,deaths_rate_other,ylds_rate_other,mx,pyld_rate,deaths_rate_lri,ylds_rate_lri,case_fatality_adaod,case_fatality_brsc,case_fatality_carc,case_fatality_copd,case_fatality_crdd,case_fatality_dmt2,case_fatality_iscs,case_fatality_ishd,case_fatality_lvrc,case_fatality_stmc,case_fatality_strk,case_fatality_tbalc,case_fatality_utrc,incidence_adaod,incidence_brsc,incidence_carc,incidence_copd,incidence_crdd,incidence_dmt2,incidence_iscs,incidence_ishd,incidence_lvrc,incidence_stmc,incidence_strk,incidence_tbalc,incidence_utrc,prevalence_adaod,prevalence_brsc,prevalence_carc,prevalence_copd,prevalence_crdd,prevalence_dmt2,prevalence_iscs,prevalence_ishd,prevalence_lvrc,prevalence_stmc,prevalence_strk,prevalence_tbalc,prevalence_utrc
0,male,NA,male_0,NA,0.14080579395962678,0,0,0,0,0,0,0.12256753123712762,0.0674043452860409,0,0,0,0,2.8333550981620503e-6,6.172570751684163e-5,2.2459936239709868e-7,6.172570751684163e-5,5.830145414055936e-7,6.172570751684163e-5,2.3717184598658267e-6,6.172570751684163e-5,1.0663395052067027e-7,6.172570751684163e-5,0.0021804372210654822,6.172570751684163e-5,7.257679240831029e-5,6.172570751684163e-5,0.6905301936157785,0.6998972656127534,0.6606908558868803,0.6804554000335254,0.6743318572124454,0.6819926920022653,0.6836287146747744,0.704614153512555,0.708707894047156,0.6802275993324807,0.6766786302352417,0.7027488715557966,0.7026984884915436,1e-8,1e-8,1e-8,1.1165200377758035e-4,2.7613592478794235e-4,1e-8,3.9635888642072345e-5,1e-8,1e-8,1e-8,6.0441655832642885e-5,1e-8,1e-8,0,0,0,0,0,0,0,0,0,0,0,0,0
1,male,NA,male_1,NA,0.13639331497237278,0,0,0,0,0,0,0.12258622930555067,0.06726834439618964,0,0,0,0,2.8237964652696383e-6,3.714877819046306e-5,2.768541283783251e-7,3.714877819046306e-5,5.563734300956281e-7,3.714877819046306e-5,2.2189390506604367e-6,3.714877819046306e-5,1.0375706778738544e-7,3.714877819046306e-5,0.0013225097515000008,3.714877819046306e-5,4.304081168551111e-5,3.714877819046306e-5,0.6954442276867399,0.7000749208925727,0.6840118802573318,0.6913698192973501,0.693297522942721,0.6831505979382924,0.6687440117768693,0.7098890748855982,0.7365012394694002,0.6835958499544067,0.7089275092671309,0.7137605620554079,0.715696463212447,1e-8,1e-8,1e-8,1.1165200377758035e-4,2.7613592478794235e-4,1e-8,3.9635888642072345e-5,1e-8,1e-8,1e-8,6.0441655832642885e-5,1e-8,1e-8,1.994055423120182e-4,1.9858080359954865e-4,2.0206533264071296e-4,2.0029801634586098e-4,2.0084322565475446e-4,2.0016146892685128e-4,2.0001629845486853e-4,1.9816738403684753e-4,1.9780945978393918e-4,2.0031825809063654e-4,2.0063403300234558e-4,1.9833068782341761e-4,1.9833510436986196e-4
2,male,2,male_2,34899.00807090059,0.13211911133775475,0,0,0,0,0,0,0.12260493022642376,0.06713261791360343,0,0,0,0,2.8142700794693108e-6,2.2357487286276796e-5,3.412663668412627e-7,2.2357487286276796e-5,5.309496963318878e-7,2.2357487286276796e-5,2.076001259788813e-6,2.2357487286276796e-5,1.0095780061856823e-7,2.2357487286276796e-5,8.021473977397611e-4,2.2357487286276796e-5,2.5524846291436694e-5,2.2357487286276796e-5,0.6882589898912987,0.697228449739232,0.6740132972299046,0.6957012673669039,0.7049517586248226,0.6734114844780781,0.6979753459095868,0.708256369326626,0.6893452252765051,0.7061150005507297,0.6934794630060417,0.6699056813068832,0.6813089715289734,1e-8,1e-8,1e-8,1.1165200377758035e-4,2.7613592478794235e-4,1e-8,3.9635888642072345e-5,1e-8,1e-8,1e-8,6.0441655832642885e-5,1e-8,1e-8,2.871531136410439e-4,2.872351090355774e-4,2.913899933141977e-4,2.89517439099061e-4,2.8868758479286727e-4,2.9352977049446516e-4,2.944722534173824e-4,2.8783119007034705e-4,2.839839718751522e-4,2.9095947024495943e-4,2.8533758621238883e-4,2.863170452439984e-4,2.841865126299131e-4
3,male,NA,male_3,NA,0.12692131063208073,0,0,0,0,0,0,0.12261897800320891,0.06699676128556305,0,0,0,0,2.783981443683709e-6,1.2883428275802341e-5,4.211505997250834e-7,1.2883428275802341e-5,4.96256612345806e-7,1.2883428275802341e-5,1.909189308002115e-6,1.2883428275802341e-5,9.707141942527774e-8,1.2883428275802341e-5,4.651930190951361e-4,1.2883428275802341e-5,1.4506869922012643e-5,1.2883428275802341e-5,0.6879111357820487,0.708620204562892,0.6781631335014393,0.6669863931888904,0.6985706540948788,0.710427754038788,0.679909274873655,0.6924502573017839,0.6966462851827482,0.6613357432403768,0.6985419131296391,0.7087353729881057,0.6842504617027387,1e-8,1e-8,1e-8,1.1165200377758035e-4,2.7613592478794235e-4,1e-8,3.9635888642072345e-5,1e-8,1e-8,1e-8,6.0441655832642885e-5,1e-8,1e-8,3.234261027053622e-4,3.2348790974833365e-4,3.2941371082424243e-4,3.2429067590799415e-4,3.251639813783136e-4,3.2929015839306395e-4,3.2747837837542737e-4,3.225562577901808e-4,3.2636056162981767e-4,3.2037803784199913e-4,3.247267013444968e-4,3.2931399506096854e-4,3.254502805553268e-4
4,male,NA,male_4,NA,0.12092046193562964,0,0,0,0,0,0,0.12263402132593447,0.0668607764122425,0,0,0,0,2.7336007103676235e-6,7.1083677721639856e-6,5.203347222332915e-7,7.1083677721639856e-6,4.542816256489024e-7,7.1083677721639856e-6,1.7258757067899038e-6,7.1083677721639856e-6,9.22299955837723e-8,7.1083677721639856e-6,2.579502260564242e-4,7.1083677721639856e-6,7.90154826308373e-6,7.1083677721639856e-6,0.6869136493150803,0.6942731760762146,0.7004210670429447,0.6412460430441865,0.7055823101121812,0.680356215495191,0.687161737937728,0.6740936131619593,0.6838497428012678,0.665869536270132,0.6610538531999433,0.6861488062141845,0.6875184240199881,1e-8,1e-8,1e-8,1.1165200377758035e-4,2.7613592478794235e-4,1e-8,3.9635888642072345e-5,1e-8,1e-8,1e-8,6.0441655832642885e-5,1e-8,1e-8,3.448990738645995e-4,3.3798951300356163e-4,3.4467553814959576e-4,3.4729579462380834e-4,3.400998002739467e-4,3.375387805313818e-4,3.4202290160288733e-4,3.3796567966969815e-4,3.368090696561791e-4,3.419118414566809e-4,3.439110756164765e-4,3.3815438727016246e-4,3.4008965516509336e-4
5,male,NA,male_5,NA,0.11568228927737587,0,0,0,0,0,0,0.12266552390731433,0.06672526873060751,0,0,0,0,2.694137340820896e-6,4.0081441994231986e-6,6.425064131313249e-7,4.0081441994231986e-6,4.2020485751181607e-7,4.0081441994231986e-6,1.5736221761263428e-6,4.0081441994231986e-6,8.81532526421818e-8,4.0081441994231986e-6,1.4627724754066865e-4,4.0081441994231986e-6,4.396294000214502e-6,4.0081441994231986e-6,0.7109609455613282,0.6865796821369441,0.6656378820352398,0.6855492583137958,0.6816350719291668,0.7104839370344616,0.6815500165318582,0.6932626603943697,0.6804257670251606,0.7012693614768113,0.6958213940944566,0.7083387176978362,0.6952678188741561,1e-8,1e-8,1e-8,1.4212409303872197e-4,2.2358937972041289e-4,1e-8,3.010028939419975e-5,1e-8,1.4345130995696148e-6,1e-8,5.209197464970206e-5,1e-8,1e-8,3.524002430993844e-4,3.4544368534946936e-4,3.448255128339877e-4,3.5445507942712053e-4,3.450816700124356e-4,3.506525694626345e-4,3.484949770544392e-4,3.511862486005896e-4,3.5202128185783015e-4,3.5304974538575055e-4,3.475141101378849e-4,3.4903403545747834e-4,3.4906016139090346e-4
6,male,NA,male_6,NA,0.11252298922579487,0,0,0,0,0,0,0.12272896977551906,0.066590838779617,0,0,0,0,2.695057432681291e-6,2.4652263361439426e-6,7.915333667225609e-7,2.4652263361439426e-6,4.0519595005951643e-7,2.4652263361439426e-6,1.4849544629732635e-6,2.4652263361439426e-6,8.628710097368726e-8,2.4652263361439426e-6,9.0734033756166945e-005,2.4652263361439426e-6,2.6632102961396463e-6,2.4652263361439426e-6,0.6694912775505173,0.7063344799770376,0.680541150347383,0.6737572076982186,0.6893051887528363,0.6780536305308544,0.6834907257076765,0.6666537526632776,0.686384746779432,0.6827989029705033,0.693965194184194,0.6963541511780182,0.6819323099402411,1e-8,1e-8,1e-8,1.4212409303872197e-4,2.2358937972041289e-4,1e-8,3.010028939419975e-5,1e-8,1.4345130995696148e-6,1e-8,5.209197464970206e-5,1e-8,1e-8,3.156185434274243e-4,3.157387075700162e-4,3.131763922418416e-4,3.1546434165969565e-4,3.1407488319645647e-4,3.1177766099058535e-4,3.1654595968870876e-4,3.1282340245592747e-4,3.1788170492458735e-4,3.1542256394936186e-4,3.088800736319178e-4,3.103282130524983e-4,3.1100906563240685e-4
7,male,7,male_7,34584.13577630243,0.11267522632641332,0,0,0,0,0,0,0.12283989381595185,0.06645808227031817,0,0,0,0,2.767118062050409e-6,1.7652868335634792e-6,9.71193827847438e-7,1.7652868335634792e-6,4.202312559558203e-7,1.7652868335634792e-6,1.4881229342662504e-6,1.7652868335634792e-6,8.805435401206411e-8,1.7652868335634792e-6,6.584619119600915e-5,1.7652868335634792e-6,1.8723047904216787e-6,1.7652868335634792e-6,0.6761739778459076,0.6599822471454443,0.674069558093845,0.6989428361041439,0.6753232697720492,0.6508338816756154,0.6645163721969468,0.6627942545513067,0.6774016701089256,0.691867897280781,0.6955070101845635,0.668147789918583,0.6572117420042576,1e-8,1e-8,1e-8,1.4212409303872197e-4,2.2358937972041289e-4,1e-8,3.010028939419975e-5,1e-8,1.4345130995696148e-6,1e-8,5.209197464970206e-5,1e-8,1e-8,2.977816160779888e-4,2.956990954856651e-4,3.0104106690936644e-4,3.018355780748269e-4,2.989357533403678e-4,3.013211961706395e-4,2.990768660591647e-4,2.99444406551494e-4,2.998839640539671e-4,2.9883368145198553e-4,2.930742087616451e-4,2.98529518520457e-4,2.9724862466696487e-4
8,male,NA,male_8,NA,0.11812329011186566,0,0,0,0,0,0,0.12317151535154464,0.0663125781369941,0,0,0,0,2.936715794429296e-6,1.5262521220043244e-6,1.1990148672440487e-6,1.5262521220043244e-6,4.684805977208699e-7,1.5262521220043244e-6,1.5698570384962756e-6,1.5262521220043244e-6,9.439999424387046e-8,1.5262521220043244e-6,5.793368033406677e-5,1.5262521220043244e-6,1.589391545703262e-6,1.5262521220043244e-6,0.6601949246689411,0.6643836567883852,0.674645125996498,0.6650188987249243,0.6340904706231424,0.6653350574196262,0.6365254002235474,0.639586010256379,0.6526577644605711,0.6739851457328694,0.6446710391839572,0.6262798508469627,0.6377684994722477,1e-8,1e-8,1e-8,1.4212409303872197e-4,2.2358937972041289e-4,1e-8,3.010028939419975e-5,1e-8,1.4345130995696148e-6,1e-8,5.209197464970206e-5,1e-8,1e-8,2.940774978707958e-4,2.956660137464871e-4,2.9890758365105506e-4,2.9216583735933903e-4,2.94802954254065e-4,3.0000446992520734e-4,2.9735701085060193e-4,2.958986273622232e-4,2.978807601523797e-4,2.9435794451889905e-4,2.907984593770652e-4,2.952857663652696e-4,2.9522643959506217e-4
9,male,NA,male_9,NA,0.12857569889094553,0,0,0,0,0,0,0.12380034699317112,0.06615401240213052,0,0,0,0,3.1977086643276704e-6,1.5255266136289636e-6,1.4911682225584428e-6,1.5255266136289636e-6,5.498456639762925e-7,1.5255266136289636e-6,1.713626466783299e-6,1.5255266136289636e-6,1.0506028724992022e-7,1.5255266136289636e-6,5.908745880477319e-5,1.5255266136289636e-6,1.561336132620491e-6,1.5255266136289636e-6,0.6241214362115574,0.623561172291633,0.6274206183565182,0.6454618516125419,0.6423046145852991,0.6397097533579811,0.62471108863759,0.6474102511254238,0.627944695287242,0.6230813203227041,0.6019125769838254,0.6239981708378992,0.6192473343225591,1e-8,1e-8,1e-8,1.4212409303872197e-4,2.2358937972041289e-4,1e-8,3.010028939419975e-5,1e-8,1.4345130995696148e-6,1e-8,5.209197464970206e-5,1e-8,1e-8,3.0044356567391945e-4,2.955190350592131e-4,2.97722435397186e-4,2.949758461777475e-4,3.007461001340975e-4,2.9765893250628683e-4,3.017902085577195e-4,2.995093414076462e-4,2.952244764528022e-4,2.951751848377423e-4,2.9646385765762847e-4,3.00798826200396e-4,2.986406749275088e-4
