age,sex,inc,mort,ylds (years lived with disability)_rate_carc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,1e-8,0,0,0,6980,carc,0,10,0,0,0,5,male_carc
1,male,1e-8,0,0,0,6980,carc,0,10,0,0,0,5,male_carc
2,male,1e-8,0,0,0,6980,carc,0,10,0,0,0,5,male_carc
3,male,1e-8,0,0,0,6980,carc,0,10,0,0,0,5,male_carc
4,male,1e-8,0,0,0,6980,carc,0,10,0,0,0,5,male_carc
5,male,1e-8,0,0,0,6917,carc,0,10,5,0,0,5,male_carc
6,male,1e-8,0,0,0,6917,carc,0,10,5,0,0,5,male_carc
7,male,1e-8,0,0,0,6917,carc,0,10,5,0,0,5,male_carc
8,male,1e-8,0,0,0,6917,carc,0,10,5,0,0,5,male_carc
9,male,1e-8,0,0,0,6917,carc,0,10,5,0,0,5,male_carc
10,male,1e-8,0,0,0,6234,carc,0,50,10,0,0,5,male_carc
11,male,1e-8,0,0,0,6234,carc,0,50,10,0,0,5,male_carc
12,male,1e-8,0,0,0,6234,carc,0,50,10,0,0,5,male_carc
13,male,1e-8,0,0,0,6234,carc,0,50,10,0,0,5,male_carc
14,male,1e-8,0,0,0,6234,carc,0,50,10,0,0,5,male_carc
15,male,1.6418545146740661e-6,3.0032702772742894e-7,1.299736818269635e-6,1.1691156576232449e-5,6436,carc,0,50,15,0,0,5,male_carc
16,male,1.6418545146740661e-6,3.0032702772742894e-7,1.299736818269635e-6,1.1691156576232449e-5,6436,carc,0,50,15,0,0,5,male_carc
17,male,1.6418545146740661e-6,3.0032702772742894e-7,1.299736818269635e-6,1.1691156576232449e-5,6436,carc,0,50,15,0,0,5,male_carc
18,male,1.6418545146740661e-6,3.0032702772742894e-7,1.299736818269635e-6,1.1691156576232449e-5,6436,carc,0,50,15,0,0,5,male_carc
19,male,1.6418545146740661e-6,3.0032702772742894e-7,1.299736818269635e-6,1.1691156576232449e-5,6436,carc,0,50,15,0,0,5,male_carc
20,male,7.455532238936649e-6,1.1663652242631058e-6,5.770333865800572e-6,5.4025611688780545e-5,7845,carc,0,50,20,0,0,5,male_carc
21,male,7.455532238936649e-6,1.1663652242631058e-6,5.770333865800572e-6,5.4025611688780545e-5,7845,carc,0,50,20,0,0,5,male_carc
22,male,7.455532238936649e-6,1.1663652242631058e-6,5.770333865800572e-6,5.4025611688780545e-5,7845,carc,0,50,20,0,0,5,male_carc
23,male,7.455532238936649e-6,1.1663652242631058e-6,5.770333865800572e-6,5.4025611688780545e-5,7845,carc,0,50,20,0,0,5,male_carc
24,male,7.455532238936649e-6,1.1663652242631058e-6,5.770333865800572e-6,5.4025611688780545e-5,7845,carc,0,50,20,0,0,5,male_carc
25,male,1.9372825657371415e-5,3.3134576231223707e-6,1.4274579259176737e-5,1.3934953425806345e-4,9023,carc,0,50,25,0,0,5,male_carc
26,male,1.9372825657371415e-5,3.3134576231223707e-6,1.4274579259176737e-5,1.3934953425806345e-4,9023,carc,0,50,25,0,0,5,male_carc
27,male,1.9372825657371415e-5,3.3134576231223707e-6,1.4274579259176737e-5,1.3934953425806345e-4,9023,carc,0,50,25,0,0,5,male_carc
28,male,1.9372825657371415e-5,3.3134576231223707e-6,1.4274579259176737e-5,1.3934953425806345e-4,9023,carc,0,50,25,0,0,5,male_carc
29,male,1.9372825657371415e-5,3.3134576231223707e-6,1.4274579259176737e-5,1.3934953425806345e-4,9023,carc,0,50,25,0,0,5,male_carc
30,male,5.004898644498897e-5,8.245932964534368e-6,3.394951859055729e-5,3.5858916308784616e-4,8448,carc,0,50,30,0,0,5,male_carc
31,male,5.004898644498897e-5,8.245932964534368e-6,3.394951859055729e-5,3.5858916308784616e-4,8448,carc,0,50,30,0,0,5,male_carc
32,male,5.004898644498897e-5,8.245932964534368e-6,3.394951859055729e-5,3.5858916308784616e-4,8448,carc,0,50,30,0,0,5,male_carc
33,male,5.004898644498897e-5,8.245932964534368e-6,3.394951859055729e-5,3.5858916308784616e-4,8448,carc,0,50,30,0,0,5,male_carc
34,male,5.004898644498897e-5,8.245932964534368e-6,3.394951859055729e-5,3.5858916308784616e-4,8448,carc,0,50,30,0,0,5,male_carc
35,male,8.517407698655852e-5,1.5174089915040707e-5,5.591501519764378e-5,6.146038208244595e-4,7997,carc,0,50,35,0,0,5,male_carc
36,male,8.517407698655852e-5,1.5174089915040707e-5,5.591501519764378e-5,6.146038208244595e-4,7997,carc,0,50,35,0,0,5,male_carc
37,male,8.517407698655852e-5,1.5174089915040707e-5,5.591501519764378e-5,6.146038208244595e-4,7997,carc,0,50,35,0,0,5,male_carc
38,male,8.517407698655852e-5,1.5174089915040707e-5,5.591501519764378e-5,6.146038208244595e-4,7997,carc,0,50,35,0,0,5,male_carc
39,male,8.517407698655852e-5,1.5174089915040707e-5,5.591501519764378e-5,6.146038208244595e-4,7997,carc,0,50,35,0,0,5,male_carc
40,male,1.8864537808523774e-4,3.477285570910153e-5,1.1975169039807608e-4,0.0013560422527478244,7179,carc,0,50,40,0,0,5,male_carc
41,male,1.8864537808523774e-4,3.477285570910153e-5,1.1975169039807608e-4,0.0013560422527478244,7179,carc,0,50,40,0,0,5,male_carc
42,male,1.8864537808523774e-4,3.477285570910153e-5,1.1975169039807608e-4,0.0013560422527478244,7179,carc,0,50,40,0,0,5,male_carc
43,male,1.8864537808523774e-4,3.477285570910153e-5,1.1975169039807608e-4,0.0013560422527478244,7179,carc,0,50,40,0,0,5,male_carc
