age,sex,inc,mort,ylds (years lived with disability)_rate_iscs,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,3.963588864209176e-5,3.877153836041715e-7,1.5203083978038922e-5,1.2776449463158395e-4,6980,iscs,0,10,0,0,0,5,male_iscs
1,male,3.963588864209176e-5,3.877153836041715e-7,1.5203083978038922e-5,1.2776449463158395e-4,6980,iscs,0,10,0,0,0,5,male_iscs
2,male,3.963588864209176e-5,3.877153836041715e-7,1.5203083978038922e-5,1.2776449463158395e-4,6980,iscs,0,10,0,0,0,5,male_iscs
3,male,3.963588864209176e-5,3.877153836041715e-7,1.5203083978038922e-5,1.2776449463158395e-4,6980,iscs,0,10,0,0,0,5,male_iscs
4,male,3.963588864209176e-5,3.877153836041715e-7,1.5203083978038922e-5,1.2776449463158395e-4,6980,iscs,0,10,0,0,0,5,male_iscs
5,male,3.0100289394149333e-5,6.079196772679262e-8,4.073562772153977e-5,3.461188268677839e-4,6917,iscs,0,10,5,0,0,5,male_iscs
6,male,3.0100289394149333e-5,6.079196772679262e-8,4.073562772153977e-5,3.461188268677839e-4,6917,iscs,0,10,5,0,0,5,male_iscs
7,male,3.0100289394149333e-5,6.079196772679262e-8,4.073562772153977e-5,3.461188268677839e-4,6917,iscs,0,10,5,0,0,5,male_iscs
8,male,3.0100289394149333e-5,6.079196772679262e-8,4.073562772153977e-5,3.461188268677839e-4,6917,iscs,0,10,5,0,0,5,male_iscs
9,male,3.0100289394149333e-5,6.079196772679262e-8,4.073562772153977e-5,3.461188268677839e-4,6917,iscs,0,10,5,0,0,5,male_iscs
10,male,2.7630872592877374e-5,6.421322295362428e-8,6.489304872559843e-5,5.419692565528435e-4,6234,iscs,0,50,10,0,0,5,male_iscs
11,male,2.7630872592877374e-5,6.421322295362428e-8,6.489304872559843e-5,5.419692565528435e-4,6234,iscs,0,50,10,0,0,5,male_iscs
12,male,2.7630872592877374e-5,6.421322295362428e-8,6.489304872559843e-5,5.419692565528435e-4,6234,iscs,0,50,10,0,0,5,male_iscs
13,male,2.7630872592877374e-5,6.421322295362428e-8,6.489304872559843e-5,5.419692565528435e-4,6234,iscs,0,50,10,0,0,5,male_iscs
14,male,2.7630872592877374e-5,6.421322295362428e-8,6.489304872559843e-5,5.419692565528435e-4,6234,iscs,0,50,10,0,0,5,male_iscs
15,male,2.3869378261440882e-5,1.4881544673488446e-7,8.660347170255462e-5,7.246400894417601e-4,6436,iscs,0,50,15,0,0,5,male_iscs
16,male,2.3869378261440882e-5,1.4881544673488446e-7,8.660347170255462e-5,7.246400894417601e-4,6436,iscs,0,50,15,0,0,5,male_iscs
17,male,2.3869378261440882e-5,1.4881544673488446e-7,8.660347170255462e-5,7.246400894417601e-4,6436,iscs,0,50,15,0,0,5,male_iscs
18,male,2.3869378261440882e-5,1.4881544673488446e-7,8.660347170255462e-5,7.246400894417601e-4,6436,iscs,0,50,15,0,0,5,male_iscs
19,male,2.3869378261440882e-5,1.4881544673488446e-7,8.660347170255462e-5,7.246400894417601e-4,6436,iscs,0,50,15,0,0,5,male_iscs
20,male,2.4560866396555507e-5,2.5986757593073463e-7,1.0796304450484356e-4,9.037538040139665e-4,7845,iscs,0,50,20,0,0,5,male_iscs
21,male,2.4560866396555507e-5,2.5986757593073463e-7,1.0796304450484356e-4,9.037538040139665e-4,7845,iscs,0,50,20,0,0,5,male_iscs
22,male,2.4560866396555507e-5,2.5986757593073463e-7,1.0796304450484356e-4,9.037538040139665e-4,7845,iscs,0,50,20,0,0,5,male_iscs
23,male,2.4560866396555507e-5,2.5986757593073463e-7,1.0796304450484356e-4,9.037538040139665e-4,7845,iscs,0,50,20,0,0,5,male_iscs
24,male,2.4560866396555507e-5,2.5986757593073463e-7,1.0796304450484356e-4,9.037538040139665e-4,7845,iscs,0,50,20,0,0,5,male_iscs
25,male,2.968698695130819e-5,5.206622344687446e-7,1.3281791057642177e-4,0.0011078613487548992,9023,iscs,0,50,25,0,0,5,male_iscs
26,male,2.968698695130819e-5,5.206622344687446e-7,1.3281791057642177e-4,0.0011078613487548992,9023,iscs,0,50,25,0,0,5,male_iscs
27,male,2.968698695130819e-5,5.206622344687446e-7,1.3281791057642177e-4,0.0011078613487548992,9023,iscs,0,50,25,0,0,5,male_iscs
28,male,2.968698695130819e-5,5.206622344687446e-7,1.3281791057642177e-4,0.0011078613487548992,9023,iscs,0,50,25,0,0,5,male_iscs
29,male,2.968698695130819e-5,5.206622344687446e-7,1.3281791057642177e-4,0.0011078613487548992,9023,iscs,0,50,25,0,0,5,male_iscs
