age,sex,inc,mort,ylds (years lived with disability)_rate_tbalc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,1e-8,0,0,0,6598,tbalc,0,10,0,0,0,5,female_tbalc
1,female,1e-8,0,0,0,6598,tbalc,0,10,0,0,0,5,female_tbalc
2,female,1e-8,0,0,0,6598,tbalc,0,10,0,0,0,5,female_tbalc
3,female,1e-8,0,0,0,6598,tbalc,0,10,0,0,0,5,female_tbalc
4,female,1e-8,0,0,0,6598,tbalc,0,10,0,0,0,5,female_tbalc
5,female,1e-8,0,0,0,6603,tbalc,0,10,5,0,0,5,female_tbalc
6,female,1e-8,0,0,0,6603,tbalc,0,10,5,0,0,5,female_tbalc
7,female,1e-8,0,0,0,6603,tbalc,0,10,5,0,0,5,female_tbalc
8,female,1e-8,0,0,0,6603,tbalc,0,10,5,0,0,5,female_tbalc
9,female,1e-8,0,0,0,6603,tbalc,0,10,5,0,0,5,female_tbalc
10,female,1e-8,0,0,0,6051,tbalc,0,50,10,0,0,5,female_tbalc
11,female,1e-8,0,0,0,6051,tbalc,0,50,10,0,0,5,female_tbalc
12,female,1e-8,0,0,0,6051,tbalc,0,50,10,0,0,5,female_tbalc
13,female,1e-8,0,0,0,6051,tbalc,0,50,10,0,0,5,female_tbalc
14,female,1e-8,0,0,0,6051,tbalc,0,50,10,0,0,5,female_tbalc
15,female,5.674358112302335e-7,3.6978140178337193e-7,1.6200288423525972e-7,9.629885153702024e-7,6338,tbalc,0,50,15,0,0,5,female_tbalc
16,female,5.674358112302335e-7,3.6978140178337193e-7,1.6200288423525972e-7,9.629885153702024e-7,6338,tbalc,0,50,15,0,0,5,female_tbalc
17,female,5.674358112302335e-7,3.6978140178337193e-7,1.6200288423525972e-7,9.629885153702024e-7,6338,tbalc,0,50,15,0,0,5,female_tbalc
18,female,5.674358112302335e-7,3.6978140178337193e-7,1.6200288423525972e-7,9.629885153702024e-7,6338,tbalc,0,50,15,0,0,5,female_tbalc
19,female,5.674358112302335e-7,3.6978140178337193e-7,1.6200288423525972e-7,9.629885153702024e-7,6338,tbalc,0,50,15,0,0,5,female_tbalc
20,female,9.643628833524434e-7,5.34756914331643e-7,2.834959374726286e-7,1.8031178045210927e-6,7828,tbalc,0,50,20,0,0,5,female_tbalc
21,female,9.643628833524434e-7,5.34756914331643e-7,2.834959374726286e-7,1.8031178045210927e-6,7828,tbalc,0,50,20,0,0,5,female_tbalc
22,female,9.643628833524434e-7,5.34756914331643e-7,2.834959374726286e-7,1.8031178045210927e-6,7828,tbalc,0,50,20,0,0,5,female_tbalc
23,female,9.643628833524434e-7,5.34756914331643e-7,2.834959374726286e-7,1.8031178045210927e-6,7828,tbalc,0,50,20,0,0,5,female_tbalc
24,female,9.643628833524434e-7,5.34756914331643e-7,2.834959374726286e-7,1.8031178045210927e-6,7828,tbalc,0,50,20,0,0,5,female_tbalc
25,female,2.5334820897023183e-6,1.2180344994799925e-6,8.068137405353958e-7,6.012591937291248e-6,8833,tbalc,0,50,25,0,0,5,female_tbalc
26,female,2.5334820897023183e-6,1.2180344994799925e-6,8.068137405353958e-7,6.012591937291248e-6,8833,tbalc,0,50,25,0,0,5,female_tbalc
27,female,2.5334820897023183e-6,1.2180344994799925e-6,8.068137405353958e-7,6.012591937291248e-6,8833,tbalc,0,50,25,0,0,5,female_tbalc
28,female,2.5334820897023183e-6,1.2180344994799925e-6,8.068137405353958e-7,6.012591937291248e-6,8833,tbalc,0,50,25,0,0,5,female_tbalc
29,female,2.5334820897023183e-6,1.2180344994799925e-6,8.068137405353958e-7,6.012591937291248e-6,8833,tbalc,0,50,25,0,0,5,female_tbalc
30,female,7.39012237832951e-6,3.940033220245193e-6,2.2668901919851382e-6,1.574135485027301e-5,7963,tbalc,0,50,30,0,0,5,female_tbalc
31,female,7.39012237832951e-6,3.940033220245193e-6,2.2668901919851382e-6,1.574135485027301e-5,7963,tbalc,0,50,30,0,0,5,female_tbalc
32,female,7.39012237832951e-6,3.940033220245193e-6,2.2668901919851382e-6,1.574135485027301e-5,7963,tbalc,0,50,30,0,0,5,female_tbalc
33,female,7.39012237832951e-6,3.940033220245193e-6,2.2668901919851382e-6,1.574135485027301e-5,7963,tbalc,0,50,30,0,0,5,female_tbalc
34,female,7.39012237832951e-6,3.940033220245193e-6,2.2668901919851382e-6,1.574135485027301e-5,7963,tbalc,0,50,30,0,0,5,female_tbalc
35,female,1.7801361930739144e-5,1.084702198190863e-5,5.42256292142816e-6,3.7148445098167705e-5,7482,tbalc,0,50,35,0,0,5,female_tbalc
36,female,1.7801361930739144e-5,1.084702198190863e-5,5.42256292142816e-6,3.7148445098167705e-5,7482,tbalc,0,50,35,0,0,5,female_tbalc
37,female,1.7801361930739144e-5,1.084702198190863e-5,5.42256292142816e-6,3.7148445098167705e-5,7482,tbalc,0,50,35,0,0,5,female_tbalc
38,female,1.7801361930739144e-5,1.084702198190863e-5,5.42256292142816e-6,3.7148445098167705e-5,7482,tbalc,0,50,35,0,0,5,female_tbalc
39,female,1.7801361930739144e-5,1.084702198190863e-5,5.42256292142816e-6,3.7148445098167705e-5,7482,tbalc,0,50,35,0,0,5,female_tbalc
