age,sex,inc,mort,ylds (years lived with disability)_rate_tbalc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,1e-8,0,0,0,6980,tbalc,0,10,0,0,0,5,male_tbalc
1,male,1e-8,0,0,0,6980,tbalc,0,10,0,0,0,5,male_tbalc
2,male,1e-8,0,0,0,6980,tbalc,0,10,0,0,0,5,male_tbalc
3,male,1e-8,0,0,0,6980,tbalc,0,10,0,0,0,5,male_tbalc
4,male,1e-8,0,0,0,6980,tbalc,0,10,0,0,0,5,male_tbalc
5,male,1e-8,0,0,0,6917,tbalc,0,10,5,0,0,5,male_tbalc
6,male,1e-8,0,0,0,6917,tbalc,0,10,5,0,0,5,male_tbalc
7,male,1e-8,0,0,0,6917,tbalc,0,10,5,0,0,5,male_tbalc
8,male,1e-8,0,0,0,6917,tbalc,0,10,5,0,0,5,male_tbalc
9,male,1e-8,0,0,0,6917,tbalc,0,10,5,0,0,5,male_tbalc
10,male,1e-8,0,0,0,6234,tbalc,0,50,10,0,0,5,male_tbalc
11,male,1e-8,0,0,0,6234,tbalc,0,50,10,0,0,5,male_tbalc
12,male,1e-8,0,0,0,6234,tbalc,0,50,10,0,0,5,male_tbalc
13,male,1e-8,0,0,0,6234,tbalc,0,50,10,0,0,5,male_tbalc
14,male,1e-8,0,0,0,6234,tbalc,0,50,10,0,0,5,male_tbalc
15,male,1.48635474789179e-7,1.0459811182830121e-7,4.03472456038803e-8,2.0765596378591556e-7,6436,tbalc,0,50,15,0,0,5,male_tbalc
16,male,1.48635474789179e-7,1.0459811182830121e-7,4.03472456038803e-8,2.0765596378591556e-7,6436,tbalc,0,50,15,0,0,5,male_tbalc
17,male,1.48635474789179e-7,1.0459811182830121e-7,4.03472456038803e-8,2.0765596378591556e-7,6436,tbalc,0,50,15,0,0,5,male_tbalc
18,male,1.48635474789179e-7,1.0459811182830121e-7,4.03472456038803e-8,2.0765596378591556e-7,6436,tbalc,0,50,15,0,0,5,male_tbalc
19,male,1.48635474789179e-7,1.0459811182830121e-7,4.03472456038803e-8,2.0765596378591556e-7,6436,tbalc,0,50,15,0,0,5,male_tbalc
20,male,6.940585632302095e-7,4.175725981288683e-7,2.0357556519418279e-7,1.2716822979207376e-6,7845,tbalc,0,50,20,0,0,5,male_tbalc
21,male,6.940585632302095e-7,4.175725981288683e-7,2.0357556519418279e-7,1.2716822979207376e-6,7845,tbalc,0,50,20,0,0,5,male_tbalc
22,male,6.940585632302095e-7,4.175725981288683e-7,2.0357556519418279e-7,1.2716822979207376e-6,7845,tbalc,0,50,20,0,0,5,male_tbalc
23,male,6.940585632302095e-7,4.175725981288683e-7,2.0357556519418279e-7,1.2716822979207376e-6,7845,tbalc,0,50,20,0,0,5,male_tbalc
24,male,6.940585632302095e-7,4.175725981288683e-7,2.0357556519418279e-7,1.2716822979207376e-6,7845,tbalc,0,50,20,0,0,5,male_tbalc
25,male,1.900892157651152e-6,9.958492686141648e-7,5.808090602210021e-7,3.92772558591853e-6,9023,tbalc,0,50,25,0,0,5,male_tbalc
26,male,1.900892157651152e-6,9.958492686141648e-7,5.808090602210021e-7,3.92772558591853e-6,9023,tbalc,0,50,25,0,0,5,male_tbalc
27,male,1.900892157651152e-6,9.958492686141648e-7,5.808090602210021e-7,3.92772558591853e-6,9023,tbalc,0,50,25,0,0,5,male_tbalc
28,male,1.900892157651152e-6,9.958492686141648e-7,5.808090602210021e-7,3.92772558591853e-6,9023,tbalc,0,50,25,0,0,5,male_tbalc
29,male,1.900892157651152e-6,9.958492686141648e-7,5.808090602210021e-7,3.92772558591853e-6,9023,tbalc,0,50,25,0,0,5,male_tbalc
30,male,5.84126652234565e-6,3.3979400774923465e-6,1.7027983067282366e-6,1.0430790137915944e-5,8448,tbalc,0,50,30,0,0,5,male_tbalc
31,male,5.84126652234565e-6,3.3979400774923465e-6,1.7027983067282366e-6,1.0430790137915944e-5,8448,tbalc,0,50,30,0,0,5,male_tbalc
32,male,5.84126652234565e-6,3.3979400774923465e-6,1.7027983067282366e-6,1.0430790137915944e-5,8448,tbalc,0,50,30,0,0,5,male_tbalc
33,male,5.84126652234565e-6,3.3979400774923465e-6,1.7027983067282366e-6,1.0430790137915944e-5,8448,tbalc,0,50,30,0,0,5,male_tbalc
