age,sex,inc,mort,ylds (years lived with disability)_rate_utrc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,1e-8,0,0,0,6598,utrc,0,10,0,0,0,5,female_utrc
1,female,1e-8,0,0,0,6598,utrc,0,10,0,0,0,5,female_utrc
2,female,1e-8,0,0,0,6598,utrc,0,10,0,0,0,5,female_utrc
3,female,1e-8,0,0,0,6598,utrc,0,10,0,0,0,5,female_utrc
4,female,1e-8,0,0,0,6598,utrc,0,10,0,0,0,5,female_utrc
5,female,1e-8,0,0,0,6603,utrc,0,10,5,0,0,5,female_utrc
6,female,1e-8,0,0,0,6603,utrc,0,10,5,0,0,5,female_utrc
7,female,1e-8,0,0,0,6603,utrc,0,10,5,0,0,5,female_utrc
8,female,1e-8,0,0,0,6603,utrc,0,10,5,0,0,5,female_utrc
9,female,1e-8,0,0,0,6603,utrc,0,10,5,0,0,5,female_utrc
10,female,1e-8,0,0,0,6051,utrc,0,50,10,0,0,5,female_utrc
11,female,1e-8,0,0,0,6051,utrc,0,50,10,0,0,5,female_utrc
12,female,1e-8,0,0,0,6051,utrc,0,50,10,0,0,5,female_utrc
13,female,1e-8,0,0,0,6051,utrc,0,50,10,0,0,5,female_utrc
14,female,1e-8,0,0,0,6051,utrc,0,50,10,0,0,5,female_utrc
15,female,2.710216667963326e-6,1.3602773777080719e-7,1.5590199889196155e-6,2.3313460360824333e-5,6338,utrc,0,50,15,0,0,5,female_utrc
16,female,2.710216667963326e-6,1.3602773777080719e-7,1.5590199889196155e-6,2.3313460360824333e-5,6338,utrc,0,50,15,0,0,5,female_utrc
17,female,2.710216667963326e-6,1.3602773777080719e-7,1.5590199889196155e-6,2.3313460360824333e-5,6338,utrc,0,50,15,0,0,5,female_utrc
18,female,2.710216667963326e-6,1.3602773777080719e-7,1.5590199889196155e-6,2.3313460360824333e-5,6338,utrc,0,50,15,0,0,5,female_utrc
19,female,2.710216667963326e-6,1.3602773777080719e-7,1.5590199889196155e-6,2.3313460360824333e-5,6338,utrc,0,50,15,0,0,5,female_utrc
20,female,3.574968355791405e-6,1.592816982297074e-7,2.0586380012930007e-6,3.081585646950937e-5,7828,utrc,0,50,20,0,0,5,female_utrc
21,female,3.574968355791405e-6,1.592816982297074e-7,2.0586380012930007e-6,3.081585646950937e-5,7828,utrc,0,50,20,0,0,5,female_utrc
22,female,3.574968355791405e-6,1.592816982297074e-7,2.0586380012930007e-6,3.081585646950937e-5,7828,utrc,0,50,20,0,0,5,female_utrc
23,female,3.574968355791405e-6,1.592816982297074e-7,2.0586380012930007e-6,3.081585646950937e-5,7828,utrc,0,50,20,0,0,5,female_utrc
24,female,3.574968355791405e-6,1.592816982297074e-7,2.0586380012930007e-6,3.081585646950937e-5,7828,utrc,0,50,20,0,0,5,female_utrc
25,female,1.0992083130170158e-5,4.042925960808517e-7,6.3060826833432944e-6,9.482962055520668e-5,8833,utrc,0,50,25,0,0,5,female_utrc
26,female,1.0992083130170158e-5,4.042925960808517e-7,6.3060826833432944e-6,9.482962055520668e-5,8833,utrc,0,50,25,0,0,5,female_utrc
27,female,1.0992083130170158e-5,4.042925960808517e-7,6.3060826833432944e-6,9.482962055520668e-5,8833,utrc,0,50,25,0,0,5,female_utrc
28,female,1.0992083130170158e-5,4.042925960808517e-7,6.3060826833432944e-6,9.482962055520668e-5,8833,utrc,0,50,25,0,0,5,female_utrc
29,female,1.0992083130170158e-5,4.042925960808517e-7,6.3060826833432944e-6,9.482962055520668e-5,8833,utrc,0,50,25,0,0,5,female_utrc
30,female,1.771182922003383e-5,7.152655322490754e-7,9.95767677087304e-6,1.52567599681164e-4,7963,utrc,0,50,30,0,0,5,female_utrc
31,female,1.771182922003383e-5,7.152655322490754e-7,9.95767677087304e-6,1.52567599681164e-4,7963,utrc,0,50,30,0,0,5,female_utrc
32,female,1.771182922003383e-5,7.152655322490754e-7,9.95767677087304e-6,1.52567599681164e-4,7963,utrc,0,50,30,0,0,5,female_utrc
33,female,1.771182922003383e-5,7.152655322490754e-7,9.95767677087304e-6,1.52567599681164e-4,7963,utrc,0,50,30,0,0,5,female_utrc
34,female,1.771182922003383e-5,7.152655322490754e-7,9.95767677087304e-6,1.52567599681164e-4,7963,utrc,0,50,30,0,0,5,female_utrc
35,female,4.162122564532694e-5,1.6918672315603613e-6,2.3288315847656292e-5,3.588959107495239e-4,7482,utrc,0,50,35,0,0,5,female_utrc
36,female,4.162122564532694e-5,1.6918672315603613e-6,2.3288315847656292e-5,3.588959107495239e-4,7482,utrc,0,50,35,0,0,5,female_utrc
37,female,4.162122564532694e-5,1.6918672315603613e-6,2.3288315847656292e-5,3.588959107495239e-4,7482,utrc,0,50,35,0,0,5,female_utrc
38,female,4.162122564532694e-5,1.6918672315603613e-6,2.3288315847656292e-5,3.588959107495239e-4,7482,utrc,0,50,35,0,0,5,female_utrc
39,female,4.162122564532694e-5,1.6918672315603613e-6,2.3288315847656292e-5,3.588959107495239e-4,7482,utrc,0,50,35,0,0,5,female_utrc
40,female,8.545160315471e-5,3.994598860777568e-6,4.764530663358431e-5,7.356666562952727e-4,6901,utrc,0,50,40,0,0,5,female_utrc
41,female,8.545160315471e-5,3.994598860777568e-6,4.764530663358431e-5,7.356666562952727e-4,6901,utrc,0,50,40,0,0,5,female_utrc
42,female,8.545160315471e-5,3.994598860777568e-6,4.764530663358431e-5,7.356666562952727e-4,6901,utrc,0,50,40,0,0,5,female_utrc
43,female,8.545160315471e-5,3.994598860777568e-6,4.764530663358431e-5,7.356666562952727e-4,6901,utrc,0,50,40,0,0,5,female_utrc
44,female,8.545160315471e-5,3.994598860777568e-6,4.764530663358431e-5,7.356666562952727e-4,6901,utrc,0,50,40,0,0,5,female_utrc
