Age group,Gender,Life years,Health adjusted life years
16-19,female,-35,-169
20-24,female,-47,-136
25-29,female,-104,-174
30-34,female,-176,-255
35-39,female,-291,-413
40-44,female,-453,-657
45-49,female,-715,-1039
50-54,female,-576,-772
55-59,female,-767,-968
60-64,female,-583,-706
65-69,female,-573,-677
70-74,female,-451,-531
75-79,female,-216,-252
80-84,female,-146,-167
85-89,female,-96,-108
90-94,female,-31,-35
95 plus,female,-4,-5
16-19,male,-62,-307
20-24,male,-139,-524
25-29,male,-181,-362
30-34,male,-321,-451
35-39,male,-715,-928
40-44,male,-1120,-1517
45-49,male,-1744,-2458
50-54,male,-2306,-3039
55-59,male,-2926,-3627
60-64,male,-2265,-2697
65-69,male,-1415,-1637
70-74,male,-947,-1106
75-79,male,-535,-626
80-84,male,-271,-313
85-89,male,-107,-122
90-94,male,-28,-32
95 plus,male,-1,-2
